,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
539,Frederic Koriche,Male,"CRIL UMR CNRS 8188, Univ. Artois",Frederic Koriche,Male,"CRIL UMR CNRS 8188, Univ. Artois",Compiling Combinatorial Prediction Games
540,Jiaming Xu,Male,Duke University,Jiaming Xu,Male,Duke University,Rates of Convergence of Spectral Methods for Graphon Estimation
541,Karren Yang,Female,Massachusetts Institute of Technology,Caroline Uhler,Female,Massachusetts Institute of Technology,Characterizing and Learning Equivalence Classes of Causal DAGs under Interventions
542,Raj Agrawal,Male,MIT,Tamara Broderick,Female,MIT,Minimal I-MAP MCMC for Scalable Structure Discovery in Causal DAG Models
543,Michael Tschannen,Male,ETH Zurich,Animashree Anandkumar,Male,Caltech,StrassenNets: Deep Learning with a Multiplication Budget
544,Yoonho Lee,Male,Pohang University of Science and Techonology,Seungjin Choi,Male,POSTECH,Gradient-Based Meta-Learning with Learned Layerwise Metric and Subspace
545,Lei Han,Male,Tencent AI Lab,Tong Zhang,NOISEemale,Tecent AI Lab,Candidates vs. Noises Estimation for Large Multi-Class Classification Problem
546,Wissam Siblini,Male,Orange Labs,Pascale Kuntz,Male,LS2N,"CRAFTML, an Efficient Clustering-based Random Forest for Extreme Multi-label Learning"
547,Joan Serrà,Male,"Telefónica Research, Barcelona",Alexandros Karatzoglou,Male,Telefonica,Overcoming Catastrophic Forgetting with Hard Attention to the Task
548,Junru Wu,Male,Texas A&M University,Yingyan Lin,Male,Rice University,Deep k-Means: Re-Training and Parameter Sharing with Harder Cluster Assignments for Compressing Deep Convolutions
549,Nal Kalchbrenner,Male,Google Brain Amsterdam,koray kavukcuoglu,Male,DeepMind,Efficient Neural Audio Synthesis
550,Tommaso Furlanello,Male,University of Southern California,Anima Anandkumar,Male,Amazon,Born Again Neural Networks
551,Guy Blanc,Male,Stanford University,Steffen Rendle,Male,Google,Adaptive Sampled Softmax with Kernel Based Sampling
552,Yunchen Pu,Male,Duke,Lawrence Carin,DIemale,Duke,JointGAN: Multi-Domain Joint Distribution Learning with Generative Adversarial Nets
553,Georg Ostrovski,Male,DeepMind,Remi Munos,Male,DeepMind,Autoregressive Quantile Networks for Generative Modeling
554,Simon Du,Male,Carnegie Mellon University,Jason Lee,OVERemale,University of Southern California,On the Power of Over-parametrization in Neural Networks with Quadratic Activation
555,Jerry Li,Male,MIT,Ludwig Schmidt,LIMITATIONS Oemale,UC Berkeley,On the Limitations of First-Order Approximation in GAN Dynamics
556,Tianbing Xu,Male,"Baidu Research, USA",Jian Peng,TO EXPLORE emale,UIUC,Learning to Explore via Meta-Policy Gradient
557,Yaodong Yang,Male,University College London,Jun Wang,IELD MULTI-AGEemale,UCL,Mean Field Multi-Agent Reinforcement Learning
558,Alon Cohen,Male,Google Inc.,Kunal Talwar,Male,Google,Online Linear Quadratic Control
