,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
579,Brandon Reagen,Male,Harvard University,David Brooks,Male,Harvard University,Weightless: Lossy weight encoding for deep neural network compression
580,Tian Gao,Male,IBM Research,Dennis Wei,Male,IBM Research,Parallel Bayesian Network Structure Learning
581,Sinong Geng,Male,UW-Madison; Princeton University,University of Wisconsin David Page,Male,"University of Wisconsin, Madison",Temporal Poisson Square Root Graphical Models
582,xue wang,Male,THE PENNSYLVANIA STATE UNIVERSITY,Tao Yao,Male,penn state university,Minimax Concave Penalized Multi-Armed Bandit Model with High-Dimensional Covariates
583,Lijun Zhang,Male,Nanjing University,Zhi-Hua Zhou,Male,Nanjing University,Dynamic Regret of Strongly Adaptive Methods
584,Aditya Bhaskara,Male,University of Utah,Maheshakya Wijewardena,Male,University of Utah,Distributed Clustering via LSH Based Data Partitioning
585,Nina Balcan,Female,Carnegie Mellon University,Ellen Vitercik,Female,Carnegie Mellon University,Learning to Branch
586,Christopher De Sa,Male,Cornell, Wong,Male,Stanford university,Minibatch Gibbs Sampling on Large Graphical Models
587,Niladri S Chatterji,Male,UC Berkeley,Michael Jordan,Male,UC Berkeley,On the Theory of Variance Reduction for Stochastic Gradient Monte Carlo
588,Rodrigo A Toro Icarte,Male,University of Toronto,Sheila McIlraith,Female,University of Toronto,Using Reward Machines for High-Level Task Specification and Decomposition in Reinforcement Learning
589,Brenden Lake,Male,New York University,Marco Baroni,Male,Facebook Artificial Intelligence Research,Generalization without Systematicity: On the Compositional Skills of Sequence-to-Sequence Recurrent Networks
590,Martin Jankowiak,Male,Uber AI Labs,Fritz Obermeyer,Male,Uber AI Labs,Pathwise Derivatives Beyond the Reparameterization Trick
591,Jingwei Zhuo,Male,Tsinghua University,Bo Zhang,Male,Tsinghua University,Message Passing Stein Variational Gradient Descent
592,Hannes Nickisch,Male,Philips Research,Alexander Grigorevskiy,Male,Aalto University,State Space Gaussian Processes with Non-Gaussian Likelihood
593,Geoff Pleiss,Male,Cornell University,Andrew Wilson,Male,Cornell University,Constant-Time Predictive Distributions for Gaussian Processes
594,Peter Bartlett,Male,UC Berkeley,Phil Long,Male,Google,Gradient descent with identity initialization efficiently learns positive definite linear transformations by deep residual networks
595,Risi Kondor,Male,The University of Chicago,Shubhendu Trivedi,Male,Toyota Technological Institute,On the Generalization of Equivariance and Convolution in Neural Networks to the Action of Compact Groups
596,Yichi Zhou,Male,Tsinghua University,Jingwei Zhuo,Male,Tsinghua University,Racing Thompson: an Efficient Algorithm for Thompson Sampling with Non-conjugate Priors
597,Gal Yona,Male,Weizmann Institute of Science,Guy Rothblum,Male,Weizmann Institute of Science,Probably Approximately Metric-Fair Learning
598,Shao-Hua Sun,Male,University of Southern California,Joseph Lim,Male,Univ. of Southern California,Neural Program Synthesis from Diverse Demonstration Videos
