,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
99,99,Aurel A Lazar,Male,Columbia University,Yevgeniy B Slutskiy,Male,Columbia University,Identifying Dendritic Processing.
100,100,Malik Magdon-Ismail,Male,RPI,Malik Magdon-Ismail,Male,RPI,Permutation Complexity Bound on Out-Sample Error.
101,101,Siwei Lyu,Male,University at Albany SUNY,Siwei Lyu,Male,University at Albany SUNY,Divisive Normalization: Justification and Effectiveness as Efficient Coding Transform.
102,102,Congcong Li,Female,Cornell University,Tsuhan Chen,Male,Cornell University,Towards Holistic Scene Understanding: Feedback Enabled Cascaded Classification Models.
103,103,Andrew B Goldberg,Male,Arcode Corporation,Rob Nowak,Male,Wisconsin,Transduction with Matrix Completion: Three Birds with One Stone.
104,104,Shaul Druckmann,Male,Janelia Farm Research Campus,Dmitri B Chklovskii,Male,HHMI,Over-complete representations on recurrent neural networks can support persistent percepts.
105,105,Yangqing Jia,Male,Alibaba Group,Trevor Darrell,Male,UC Berkeley,Factorized Latent Spaces with Structured Sparsity.
106,106,Ryan G Gomes,Male,Caltech,Pietro Perona,Male,California Institute of Technology,Discriminative Clustering by Regularized Information Maximization.
107,107,Mark Johnson,Male,Macquarie University,Bevan K Jones,Male,University Edinburgh / Macquarie University,Synergies in learning words and their referents.
108,108,Kaiming Li,Male,Sichuan University,tianming Liu,Male,University of Georgia,Individualized ROI Optimization via Maximization of Group-wise Consistency of Structural and Functional Profiles.
109,109,Jason D Lee,Male,Stanford,Joel A Tropp,Male,Caltech,Practical Large-Scale Optimization for Max-norm Regularization.
110,110,Tom Claassen,Male,Radboud University Nijmegen,Tom Heskes,Male,Radboud University Nijmegen,Causal discovery in multiple models from different experiments.
111,111,Leonidas Lefakis,Male,EPFL/Idiap,François Fleuret,Male,University of Geneva,Joint Cascade Optimization Using A Product Of Boosted Classifiers.
112,112,Jan Gasthaus,Male,Amazon,Yee Whye Teh,Male,"University of Oxford, DeepMind",Improvements to the Sequence Memoizer.
113,113,Yuanqing Lin,Male,NEC Labs America,Kai Yu,Male,Baidu,Deep Coding Network.
114,114,Diane Hu,Female,UC San Diego,Sorin Lerner,Male,UC San Diego,Latent Variable Models for Predicting File Dependencies in Large-Scale Software Development.
115,115,Chang Su,Male,University at Buffalo,Sargur N Srihari,Male,University at Buffalo,Evaluation of Rarity of Fingerprints in Forensics.
116,116,Eiji Mizutani,Male,National Taiwan University of Science and Technology,Stuart Dreyfus,Male,UC Berkeley,An analysis on negative curvature induced by singularity in multi-layer neural-network learning.
117,117,Julien Mairal,Male,Inria,Francis Bach,Male,INRIA - Ecole Normale Superieure,Network Flow Algorithms for Structured Sparsity.
118,118,koray kavukcuoglu,Male,DeepMind,Yann LeCun,Male,Facebook AI Research and New York University,Learning Convolutional Feature Hierarchies for Visual Recognition.
