,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
119,119,America Chambers,Female,"Univ. of California, Irvine",Mark Steyvers,Male,UC Irvine,Learning concept graphs from text with stick-breaking priors.
120,120,Oliver Williams,Male,Microsoft Research,Frank McSherry,Male,Microsoft Research,Probabilistic Inference and Differential Privacy.
121,121,Amin Sayedi,Male,Carnegie Mellon University,Avrim Blum,Male,CMU,Trading off Mistakes and Don't-Know Predictions.
122,122,Indraneel Mukherjee,Male,Princeton University,Robert E Schapire,Male,MIcrosoft Research,A Theory of Multiclass Boosting.
123,123,Sasha Rakhlin,Female,University of Pennsylvania,Ambuj Tewari,Male,University of Michigan,"Online Learning: Random Averages, Combinatorial Parameters, and Learnability."
124,124,Liefeng Bo,Male,Intel Labs,Dieter Fox,Male,University of Washington,Kernel Descriptors for Visual Recognition.
125,125,Sylvain Chevallier,Male,LISV,Michele Sebag,Female,"Universite Paris-Sud, CNRS","SpikeAnts, a spiking neuron network modelling the emergence of organization in a complex system."
126,126,Alexandre Bouchard-Côté,Male,UBC,Michael Jordan,Male,UC Berkeley,Variational Inference over Combinatorial Spaces.
127,127,Alekh Agarwal,Male,Microsoft Research,Martin J Wainwright,Male,UC Berkeley,Fast global convergence rates of gradient methods for high-dimensional   statistical recovery.
128,128,Rina Foygel,Female,Stanford University,Mathias Drton,Male,University of Washington,Extended Bayesian Information Criteria for Gaussian Graphical Models.
129,129,Christos Boutsidis,Male,IBM T.J. Watson Research,Petros Drineas,Male,Rensselaer Polytechnic Institute,Random Projections for $k$-means Clustering.
130,130,Kaushik Mitra,Male,"University of Maryland, College Park",Rama Chellappa,Male,University of Maryland College Park,Large-Scale Matrix Factorization with Missing Data under Additional Constraints.
131,131,Mathieu Salzmann,Male,TTI Chicago,Raquel Urtasun,Female,University of Toronto,Implicitly Constrained Gaussian Process Regression for Monocular Non-Rigid Pose Estimation.
132,132,Ronny Luss,Male,Tel Aviv University,Moni Shahar,Male,Tel Aviv University,Decomposing Isotonic Regression for Efficiently Solving Large Problems.
133,133,Yu Zhang,Male,Hong Kong Baptist University,Qian Xu,Female,Hong Kong University of Science and Technology,Probabilistic Multi-Task Feature Selection.
134,134,Tamir Hazan,Male,Technion,Raquel Urtasun,Female,University of Toronto,A Primal-Dual Message-Passing Algorithm for Approximated Large Scale Structured Prediction.
135,135,S.V.N. Vishwanathan,Male,UCSC,Manik Varma,Male,Microsoft Research India,Multiple Kernel Learning and the SMO Algorithm.
136,136,Eric X Wang,Male,Duke University,Lawrence Carin,Male,Duke University,Joint Analysis of Time-Evolving Binary Matrices and Associated Documents.
137,137,Peter G Stobbe,Male,California Institute of Technology,Andreas Krause,Male,ETH Zurich,Efficient Minimization of Decomposable Submodular Functions.
138,138,Meritxell Vinyals,Female,IIIA-CSIC,Juan A Rodríguez-Aguilar,Male,IIIA-CSIC,Worst-case bounds on the quality of max-product fixed-points.
