,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
139,139,Ning Chen,Male,Tsinghua University,Eric Xing,Male,Petuum Inc. /  Carnegie Mellon University,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach.
140,140,Lauren A Hannah,Female,Duke University,David Blei,Male,Columbia University,Nonparametric Density Estimation for Stochastic Optimization with an Observable State Variable.
141,141,Abhay Jha,Male,University of Washington,Dan Suciu,Male,University of Washington,Lifted Inference Seen from the Other Side : The Tractable Features.
142,142,Quoc V. Le,Male,Google,Andrew Y Ng,Male,DeepLearning.AI,Tiled convolutional neural networks.
143,143,Chiuso Alessandro c/o Dip. I Informazione,Male,University of Padova,Gianluigi Pillonetto,Male,University of Padova,Learning sparse dynamic linear systems using stable spline kernels and exponential hyperpriors.
144,144,Ralf Haefner,Male,"Brain & Cognitive Sciences, University of Rochester",Matthias Bethge,Male,University Tübingen,Evaluating neuronal codes for inference using Fisher information.
145,145,Gilles Blanchard,Male,University Paris-Saclay,Nicole Krämer,Female,Weierstrass Institute Berlin,Optimal learning rates for Kernel Conjugate Gradient regression.
146,146,Prateek Jain,Male,Microsoft Research,Inderjit Dhillon,Male,UT Austin & Amazon,Inductive Regularized Learning of Kernel Functions.
147,147,Andrew Wilson,Male,University of Cambridge,Zoubin Ghahramani,Male,Uber and University of Cambridge,Copula Processes.
148,148,Umar Syed,Male,University of Pennsylvania,Ben Taskar,Male,University of Washington,Semi-Supervised Learning with Adversarially  Missing Label Information.
149,149,Felipe Gerhard,Male,Brain Mind Institute,Wulfram Gerstner,Male,EPFL,"Rescaling, thinning or complementing? On goodness-of-fit procedures for point process models and Generalized Linear Models."
150,150,Wei Wang,Male,Nanjing University,Zhi-Hua Zhou,Male,Nanjing University,Multi-View Active Learning in the Non-Realizable Case.
151,151,Dirk Husmeier,Male,Biomathematics & Statistics Scotland,Sophie Lebre,Female,"LSIIT - UMR 7005, University of Strasbourg",Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks.
152,152,Meihong Wang,Male,University of Southern California,Michael Jordan,Male,UC Berkeley,Unsupervised Kernel Dimension Reduction.
153,153,Daniel Lowd,Male,University of Oregon,Pedro Domingos,Male,University of Washington,Approximate Inference by Compilation to Arithmetic Circuits.
154,154,Kritika Muralidharan,Female,"Statistical Visual Computing Lab, UC San Diego",Nuno Vasconcelos,Male,UC San Diego,A biologically plausible network for the computation of orientation dominance.
155,155,Kanaka Rajan,Female,Princeton University,Haim Sompolinsky,Male,Hebrew University and Harvard University,Inferring Stimulus Selectivity from the Spatial Structure of Neural Network Dynamics.
156,156,Silvia Chiappa,Female,University of Cambridge,Jan Peters,Male,TU Darmstadt & MPI Intelligent Systems,Movement extraction by detecting dynamics switches and repetitions.
157,157,Nim Arora,Male,Facebook,Erik Sudderth,Male,Brown University,Global seismic monitoring as probabilistic inference.
158,158,Mike Mozer,Male,Google Research and U. Colorado Boulder,Michael Jones,Male,Indiana University,Improving Human Judgments by Decontaminating Sequential Dependencies.
