,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
179,179,Corinna Cortes,Female,Google Research,Mehryar Mohri,Male,Google Research & Courant Institute of Mathematical Sciences,Learning Bounds for Importance Weighting.
180,180,Nikos Karampatziakis,Male,Cornell University,Nikos Karampatziakis,Male,Cornell University,Static Analysis of Binary Executables Using Structural SVMs.
181,181,Yanjun Han,Male,Chinese Academy of Sciences,Jue Wang,Male,Chinese Academy of Sciences,Avoiding False Positive in Multi-Instance Learning.
182,182,Prateek Jain,Male,Microsoft Research,Kristen Grauman,Female,University of Texas at Austin,Hashing Hyperplane Queries to Near Points  with Applications to Large-Scale Active Learning.
183,183,M. Pawan Kumar,Male,Stanford University,Daphne Koller,Female,insitro,Self-Paced Learning for Latent Variable Models.
184,184,Mohammad Ghavamzadeh,Male,Facebook AI Research,Remi Munos,Male,Google DeepMind,LSTD with Random Projections.
185,185,Huan Xu,Male,National University of Singapore,Sujay Sanghavi,Male,UT-Austin,Robust PCA via Outlier Pursuit.
186,186,Francis Bach,Male,INRIA - Ecole Normale Superieure,Francis Bach,Male,INRIA - Ecole Normale Superieure,Structured sparsity-inducing norms through submodular functions.
187,187,Graham Taylor,Male,University of Guelph,Christoph Bregler,Male,New York University,Pose-Sensitive Embedding by Nonlinear NCA Regression.
188,188,Yao-Liang Yu,Male,University of Waterloo,Dale Schuurmans,Male,Google Brain & University of Alberta,Relaxed Clipping: A Global Training Method for Robust Regression and Classification.
189,189,Benjamin A Miller,Male,Massachusetts Institute of Technology,Patrick J Wolfe,Male,Harvard University,Subgraph Detection Using Eigenvector L1 Norms.
190,190,Jenna Wiens,Female,Massachusetts Institute of Technology,John Guttag,Male,Massachusetts Institute of Technology,Active Learning Applied to Patient-Adaptive Heartbeat Classification.
191,191,Nati Srebro,Male,TTI-Chicago,Ambuj Tewari,Male,University of Michigan,"Smoothness, Low Noise and Fast Rates."
192,192,Jun Zhu,Male,Tsinghua University,Eric Xing,Male,Petuum Inc. /  Carnegie Mellon University,Large Margin Learning of Upstream Scene Understanding Models.
193,193,Sofia Mosci,Female,Universita' di Genova,Lorenzo Rosasco,Male,University of Genova- MIT - IIT,A Primal-Dual Algorithm for Group Sparse Regularization with Overlapping Groups.
194,194,Remi Cuingnet,Male,CRICM (CNRS / Inserm),Olivier Colliot,Male,Université Pierre et Marie Curie (UPMC),Spatial and anatomical regularization of SVM for brain image analysis.
195,195,Sander M Bohte,Male,Centrum Wiskunde Informatica,Jaldert Rombouts,Male,Centrum Wiskunde Informatica,Fractionally Predictive Spiking Neurons.
196,196,Russ Salakhutdinov,Male,Carnegie Mellon University,Nati Srebro,Male,TTI-Chicago,Collaborative Filtering in a Non-Uniform World: Learning  with the Weighted Trace Norm.
197,197,Jie Tang,Male,UC Berkeley,Pieter Abbeel,Male,UC Berkeley & Covariant,On a Connection between Importance Sampling and the Likelihood Ratio   Policy Gradient.
198,198,Gergely Neu,Male,Universitat Pompeu Fabra,András Antos,Male,MTA SZTAKI Institute for Computer Science and Control,Online Markov Decision Processes under Bandit Feedback.
