,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
219,219,Umar Syed,Male,University of Pennsylvania,Robert E Schapire,Male,MIcrosoft Research,A Reduction from Apprenticeship Learning to Classification.
220,220,José Bento,Male,Boston College,Andrea Montanari,Male,Stanford,Learning Networks of Stochastic Differential Equations.
221,221,Seth A Myers,Male,Stanford University,Jure Leskovec,Male,Stanford University/Pinterest,On the Convexity of Latent Social Network Inference.
222,222,Bryan R Gibson,Male,University of Wisconsin-Madison,Joseph Harrison,Male,None,"Humans Learn Using Manifolds, Reluctantly."
223,223,Xinhua Zhang,Male,University of Illinois at Chicago (UIC),S.V.N. Vishwanathan,Male,UCSC,Lower Bounds on Rate of Convergence of Cutting Plane Methods.
224,224,Emtiyaz Khan,Male,RIKEN,Kevin P Murphy,Male,Google,Variational bounds for mixed-data factor analysis.
225,225,Manfred Opper,Male,Technische Universitaet Berlin,Guido Sanguinetti,Male,University of Edinburgh,Approximate inference in continuous time Gaussian-Jump processes.
226,226,Jim C Huang,Male,Microsoft Research,Christopher Meek,Male,Microsoft Research,Exact inference and learning for cumulative distribution functions on loopy graphs.
227,227,Francesco Orabona,Male,Boston University,Yacov Crammer,Male,Technion,New Adaptive Algorithms for Online Classification.
228,228,Feiping Nie,Male,University of Texas Arlington,Chris Ding,Male,University of Texas at Arlington,"Efficient and Robust Feature Selection via Joint ℓ2,1-Norms Minimization."
229,229,Joris M Mooij,Male,Radboud University Nijmegen,Bernhard Schölkopf,Male,"MPI for Intelligent Systems, Tübingen",Probabilistic latent variable models for distinguishing between cause and effect.
230,230,Gaël Varoquaux,Male,INRIA,Bertrand Thirion,Male,INRIA,Brain covariance selection: better individual functional connectivity models using population prior.
231,231,Ali Shojaie,Male,University of Washington,George Michailidis,Male,University of Michigan,Penalized Principal Component Regression on Graphs for Analysis of Subnetworks.
232,232,Ryan C Kelly,Male,Carnegie Mellon University,Tai Sing Lee,Male,Carnegie Mellon University,Accounting for network effects in neuronal responses using L1 regularized point process models.
233,233,Samy Bengio,Male,Apple,David Grangier,Male,NEC Labs America,Label Embedding Trees for Large Multi-Class Tasks.
234,234,Peter Welinder,Male,Caltech,Pietro Perona,Male,California Institute of Technology,The Multidimensional Wisdom of Crowds.
235,235,Marc'Aurelio Ranzato,Male,Facebook AI Research,Geoffrey E Hinton,Male,Google & University of Toronto,Generating more realistic images using gated MRF's.
236,236,Tobias Glasmachers,Male,USI/SUPSI,Tobias Glasmachers,Male,USI/SUPSI,Universal Consistency of Multi-Class Support Vector Classiﬁcation.
237,237,Georg Langs,Male,Medical University of Vienna,Polina Golland,Female,Massachusetts Institute of Technology,Functional Geometry Alignment and Localization of Brain Areas.
238,238,Dahua Lin,Male,Massachusetts Institute of Technology,John Fisher III,Male,MIT,Construction of Dependent Dirichlet Processes based on Poisson Processes.
