,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
79,79,Ryota Tomioka,Male,Microsoft Research Cambridge,Hisashi Kashima,Male,None,Statistical Performance of Convex Tensor Decomposition.
80,80,XianXing Zhang,Male,Duke University,Lawrence Carin,Male,Duke University,Hierarchical Topic Modeling for Analysis of Time-Evolving Personal Choices.
81,81,Mohammad J Saberian,Male,UC San Diego,Nuno Vasconcelos,Male,UC San Diego,Multiclass Boosting: Theory and Algorithms.
82,82,Kenan Y Yılmaz,Male,Boğaziçi University,Umut Simsekli,Male,Institut Polytechnique de Paris/ University of Oxford,Generalised Coupled Tensor Factorisation.
83,83,Dan Sheldon,Male,University of Massachusetts Amherst,Tom Dietterich,Male,Oregon State University,Collective Graphical Models.
84,84,Pablo M Olmos,Male,Universidad de Sevilla,Fernando Perez-Cruz,Male,Swiss Data Science Center (ETH Zurich and EPFL),An Application of Tree-Structured Expectation Propagation for Channel Decoding.
85,85,Inderjit Dhillon,Male,UT Austin & Amazon,Ambuj Tewari,Male,University of Michigan,Nearest Neighbor based Greedy Coordinate Descent.
86,86,Gautam Kunapuli,Male,University of Wisconsin-Madison,Jude W Shavlik,Male,University of Wisconsin at Madison,Advice Refinement in Knowledge-Based SVMs.
87,87,Abhishek Kumar,Male,"University of Maryland, College Park",Hal Daumé III,Male,Univ of Maryland / Microsoft Research,Co-regularized Multi-view Spectral Clustering.
88,88,Skander Mensi,Male,Brain-Mind Institute,Wulfram Gerstner,Male,EPFL,From Stochastic Nonlinear Integrate-and-Fire to Generalized Linear Models.
89,89,Kevin G Jamieson,Male,University of Wisconsin,Rob Nowak,Male,Wisconsin,Active Ranking using Pairwise Comparisons.
90,90,Yair Wiener,Male,Technion,Ran El-Yaniv,Male,Technion & Google,Agnostic Selective Classification.
91,91,Elad Hazan,Male,Technion,Satyen Kale,Male,Google,Newtron: an Efficient Bandit algorithm for Online Multiclass Prediction.
92,92,Joel Leibo,Male,Google DeepMind,Tomaso Poggio,Male,Massachusetts Institute of Technology,Why The Brain Separates Face Recognition From Object Recognition.
93,93,Paul Wagner,Male,Aalto University,Paul Wagner,Male,Aalto University,A reinterpretation of the policy oscillation phenomenon in approximate policy iteration.
94,94,Biljana Petreska,Female,UCL,Maneesh Sahani,Male,"Gatsby Unit, UCL",Dynamical segmentation of single trials from population neural data.
95,95,Matthias S Keil,Male,University of Barcelona,Matthias S Keil,Male,University of Barcelona,"Emergence of Multiplication in a Biophysical Model of a Wide-Field Visual Neuron for Computing Object Approaches: Dynamics, Peaks, & Fits."
96,96,Shahed Sorower,Male,Capital One Labs,Xiaoli Fern,Female,Oregon State University,Inverting Grice's Maxims to Learn Rules from Natural Language Extractions.
97,97,Hua Wang,Male,Univ. of Texas at Arlington,Chris Ding,Male,University of Texas at Arlington,A Maximum Margin Multi-Instance Learning Framework for Image Categorization.
98,98,Jun Zhu,Male,Tsinghua University,Eric Xing,Male,Petuum Inc. /  Carnegie Mellon University,Infinite Latent SVM for Classification and Multi-task Learning.
