,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
159,159,Christos Boutsidis,Male,IBM T.J. Watson Research,Malik Magdon-Ismail,Male,RPI,Sparse Features for PCA-Like Linear Regression.
160,160,Cho-Jui Hsieh,Male,UCLA,Pradeep Ravikumar,Male,Carnegie Mellon University,Sparse Inverse Covariance Matrix Estimation Using Quadratic Approximation.
161,161,Shulin Yang,Female,Airbnb,Ali Rahimi,Male,Red Bow Labs,Structure Learning for Optimization.
162,162,Ichiro Takeuchi,Male,Nagoya Institute of Technology,Masashi Sugiyama,Male,RIKEN / University of Tokyo,Target Neighbor Consistent Feature Weighting for Nearest Neighbor Classification.
163,163,Joel Veness,Male,DeepMind,Michael Bowling,Male,DeepMind / University of Alberta,Variance Reduction in Monte-Carlo Tree Search.
164,164,Ambuj Tewari,Male,University of Michigan,Inderjit Dhillon,Male,UT Austin & Amazon,Greedy Algorithms for Structurally Constrained High Dimensional Problems.
165,165,Zuoguan Wang,Male,Rensselaer Polytechnic Institute,Qiang Ji,Male,Rensselaer Polytechnic Institute,Decoding of Finger Flexion from Electrocorticographic Signals Using Switching Non-Parametric Dynamic Systems.
166,166,chaitu Ekanadham,Male,"Knewton, Inc.",Eero Simoncelli,Male,FlatIron Institute / New York University,A blind sparse deconvolution method for neural spike identification.
167,167,Nobuyuki Morioka,Male,Google,Shin'ichi Satoh,Male,NII,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition.
168,168,Hai-Son P Le,Male,Carnegie Mellon University,Ziv Bar-Joseph,Male,Carnegie Mellon University,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction.
169,169,Shilin Ding,Male,University of Wisconsin-Madison,Jerry Zhu,Male,University of Wisconsin-Madison,Learning Higher-Order Graph Structure with Features by Structure Penalty.
170,170,Francis Bach,Male,INRIA - Ecole Normale Superieure,Eric Moulines,Male,Telecom ParisTech,Non-Asymptotic Analysis of Stochastic Approximation Algorithms for Machine Learning.
171,171,Xaq S Pitkow,Male,University of Rochester,Ken D Miller,Male,Columbia University,Learning unbelievable marginal probabilities.
172,172,Victor Gabillon,Male,INRIA,Sebastien Bubeck,Male,MSR,Multi-Bandit Best Arm Identification.
173,173,David Reichert,Male,DeepMind,Amos Storkey,Male,University of Edinburgh,Neuronal Adaptation for Sampling-Based Probabilistic Inference in Perceptual Bistability.
174,174,Nati Srebro,Male,TTI-Chicago,Ambuj Tewari,Male,University of Michigan,On the Universality of Online Mirror Descent.
175,175,Hema Koppula,Female,Apple,Ashutosh Saxena,Male,Cornell University,Semantic Labeling of 3D Point Clouds for Indoor Scenes.
176,176,Mehdi Keramati,,Group for Neural Theory,Boris S Gutkin,Male,"Group for Neural Theory, DEC, ENS, Paris, France",A Reinforcement Learning Theory for Homeostatic Regulation.
177,177,Neville Mehta,Male,Oregon State University,Alan Fern,Male,Oregon State University,Autonomous Learning of Action Models for Planning.
178,178,David Mcallester,Male,Toyota Tech Institute Chicago,Joseph Keshet,Male,Bar-Ilan University,Generalization Bounds and Consistency for Latent Structural Probit and Ramp Loss.
