,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
199,199,Stefano Ermon,Male,Stanford University,Bart Selman,Male,Cornell University,Accelerated Adaptive Markov Chain for Partition Function Computation.
200,200,Tim van Erven,Male,University of Amsterdam,Steven D Rooij,Male,CWI,Adaptive Hedge.
201,201,Rocco A Servedio,Male,Columbia University,Phil Long,Male,NEC Labs,Algorithms and hardness results for parallel large margin learning.
202,202,Olivier Chapelle,Male,Google,Lihong Li,Male,Amazon,An Empirical Evaluation of Thompson Sampling.
203,203,Krzysztof Dembczynski,Male,Poznan University of Technology,Eyke Hullermeier,Male,Philipps-Universität Marburg,An Exact Algorithm for F-Measure Maximization.
204,204,Mike Mozer,Male,Google Research and U. Colorado Boulder,Harold Pashler,Male,UC San Diego,An Unsupervised Decontamination Procedure For Improving The Reliability Of Human Judgments.
205,205,Jing Lei,Male,CMU,Jing Lei,Male,CMU,Differentially Private M-Estimators.
206,206,Xinghua Lou,Male,Vicarious FPC Inc,Fred Hamprecht,Male,Heidelberg University,Structured Learning for Cell Tracking.
207,207,Nan Ding,Male,Google,Alan Qi,Male,Purdue university,t-divergence Based Approximate Inference.
208,208,Fabian L Wauthier,Male,Amazon,Michael Jordan,Male,UC Berkeley,Bayesian Bias Mitigation for Crowdsourcing.
209,209,Congcong Li,Male,Cornell University,Tsuhan Chen,Male,Cornell University,$\theta$-MRF: Capturing Spatial and Semantic Structure in the Parameters for Scene Understanding.
210,210,Xiaoyin Ge,Male,Ohio State University,Yusu Wang,Male,Ohio State University,Data Skeletonization via Reeb Graphs.
211,211,Nicolò Cesa-Bianchi,Male,"Università degli Studi di Milano, Italy",Ohad Shamir,Male,Weizmann Institute of Science,Efficient Online Learning via Randomized Rounding.
212,212,Oliver Stegle,Male,German Cancer Research Center,Karsten Borgwardt,Male,ETH Zurich,Learning sparse inverse covariance matrices in the presence of confounders.
213,213,Il Memming Park,Male,Stony Brook University,Jonathan W Pillow,Male,UT Austin,Bayesian Spike-Triggered Covariance Analysis.
214,214,Elad Hazan,Male,Technion,Nati Srebro,Male,TTI-Chicago,Beating SGD: Learning SVMs in Sublinear Time.
215,215,Morteza Alamgir,Male,University of Hamburg,Ulrike von Luxburg,Male,University of Tübingen,Phase transition in the family of p-resistances.
216,216,Sung Ju Hwang,Male,University of Texas at Austin,Fei Sha,Male,University of Southern California (USC),Learning a Tree of Metrics with Disjoint Visual Features.
217,217,Phil Long,Male,NEC Labs,Rocco A Servedio,Male,Columbia University,Learning large-margin halfspaces with more malicious noise.
218,218,Vicente Ordonez,Male,University of North Carolina at Chapel Hill,Tamara L Berg,Female,Stony Brook University,Im2Text: Describing Images Using 1 Million Captioned Photographs.
