,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
259,259,Martin Slawski,Male,Saarland University,Matthias Hein,Male,University of Tübingen,Sparse recovery by thresholded non-negative least squares.
260,260,Jacob D Abernethy,Male,University of Michigan,Rafael Frongillo,Male,University of Colorado Boulder,A Collaborative Mechanism for Crowdsourcing Prediction Problems.
261,261,Ke Chen,Male,The University of Manchester,Ahmad Salman,Male,University of Manchester,Extracting Speaker-Specific Information with a Regularized Siamese Deep Network.
262,262,M Pacer,Male,Netflix,Tom Griffiths,Male,Princeton,A rational model of causal inference with continuous causes.
263,263,Tianshi Gao,Male,Facebook,Daphne Koller,Female,insitro,Active Classification based on Value of Classifier.
264,264,Faisal Khan,Male,University of Wisconsin-Madison,Bilge Mutlu,Male,University of Wisconsin-Madison,How Do Humans Teach: On Curriculum Learning and Teaching Dimension.
265,265,Benjamin Recht,Male,UW-Madison,Feng Niu,Male,University of Wisconsin-Madison,Hogwild!: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent.
266,266,Animashree Anandkumar,Female,UC Irvine,Alan S Willsky,Male,Massachusetts Institute of Technology,High-Dimensional Graphical Model Selection: Tractable Graph Families and Necessary Conditions.
267,267,Mark Schmidt,Male,INRIA - SIERRA Project Team,Francis Bach,Male,INRIA - Ecole Normale Superieure,Convergence Rates of Inexact Proximal-Gradient Methods for Convex Optimization.
268,268,Adler J Perotte,Male,Columbia University,Nicholas Bartlett,Male,Columbia,Hierarchically Supervised Latent Dirichlet Allocation.
269,269,Ioannis A Gkioulekas,Male,Harvard University,Todd Zickler,Male,Harvard University,Dimensionality Reduction Using the Sparse Linear Model.
270,270,Bogdan Alexe,Male,ETH ZURICH,Vittorio Ferrari,Male,University of Edinburgh,Exploiting spatial overlap to efficiently compute appearance distances between image windows.
271,271,Michael Shindler,Male,Unaffiliated,Adam W Meyerson,Male,"Google, Inc.",Fast and Accurate k-means For Large Datasets.
272,272,Matthew A Kayala,Male,"University of California, Irvine",Pierre Baldi,Male,UC Irvine,A Machine Learning Approach to Predict Chemical Reactions.
273,273,Artin Armagan,Male,Duke University,Merlise Clyde,Female,Duke University,Generalized Beta Mixtures of Gaussians.
274,274,Qibin Zhao,Male,RIKEN AIP,Andrzej S CICHOCKI,Male,RIKEB Brain Science Institute,A Multilinear Subspace Regression Method Using Orthogonal Tensors Decompositions.
275,275,Joshua T Abbott,Male,UC Berkeley,Tom Griffiths,Male,Princeton,Testing a Bayesian Measure of Representativeness Using a Large Image Database.
276,276,Andrew McHutchon,Male,Cambridge University,Carl Edward Rasmussen,Male,University of Cambridge,Gaussian Process Training with Input Noise.
277,277,Cristina Savin,Female,University of Cambridge,Mate Lengyel,Male,University of Cambridge,Two is better than one: distinct roles for familiarity and recollection in retrieving palimpsest memories.
278,278,Guido F Montufar,Male,UCLA,Nihat Ay,Male,MPI for Mathematics in the Sciences,Expressive Power and Approximation Errors of Restricted Boltzmann Machines.
