,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
279,279,Vincent Delaitre,Male,Ecole Normale Supérieure,Ivan Laptev,Male,INRIA,Learning person-object interactions for action recognition in still images.
280,280,Jakob H Macke,Male,University of Tübingen & MPI IS Tübingen,Maneesh Sahani,Male,"Gatsby Unit, UCL",Empirical models of spiking in neural populations.
281,281,Viren Jain,Male,Howard Hughes Medical Institute,H. Sebastian Seung,Male,Massachusetts Institute of Technology,Learning to Agglomerate Superpixel Hierarchies.
282,282,Joe L Austerweil,Male,"University of Wisconsin, Madison",Tom Griffiths,Male,Princeton,An ideal observer model for identifying the reference frame of objects.
283,283,Shie Mannor,Male,Technion,Ohad Shamir,Male,Weizmann Institute of Science,From Bandits to Experts: On the Value of Side-Observations.
284,284,Quoc V. Le,Male,Google,Andrew Y Ng,Male,DeepLearning.AI,ICA with Reconstruction Cost for Efficient Overcomplete Feature Learning.
285,285,Danilo J Rezende,Male,EPFL,Wulfram Gerstner,Male,EPFL,Variational Learning for Recurrent Spiking Networks.
286,286,David R Karger,Male,MIT,Devavrat Shah,Male,Massachusetts Institute of Technology,Iterative Learning for Reliable Crowdsourcing Systems.
287,287,Philipp Krähenbühl,Male,UT Austin,Vladlen Koltun,Male,Adobe Research,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials.
288,288,Lester W Mackey,Male,"University of California, Berkeley",Michael Jordan,Male,UC Berkeley,Divide-and-Conquer Matrix Factorization.
289,289,Duy Q Vu,Male,Pennsylvania State University,Padhraic Smyth,Male,"University of California, Irvine",Continuous-Time Regression Models for Longitudinal Networks.
290,290,David Newman,Male,"University of California, Irvine",Wray Buntine,Male,None,Improving Topic Coherence with Regularized Topic Models.
291,291,Youwei Zhang,Male,UC Berkeley,Laurent El Ghaoui,Male,UC Berkeley,Large-Scale Sparse Principal Component Analysis with Application to Text Data.
292,292,Ross B Girshick,Male,UC Berkeley,David Mcallester,Male,Toyota Tech Institute Chicago,Object Detection with Grammar Models.
293,293,Dominique C Perrault-Joncas,Male,University of Washington,Marina Meila,Female,University of Washington,Directed Graph Embedding: an Algorithm based on Continuous Limits of Laplacian-type Operators.
294,294,Dominique Tschopp,Male,None,Soheil Mohajer,Male,Princeton,Randomized Algorithms for Comparison-based Search.
295,295,David Sontag,Male,MIT,Dan Roy,Male,Univ of Toronto & Vector,Complexity of Inference in Latent Dirichlet Allocation.
296,296,Stefanie Jegelka,Female,MIT,Jeff A Bilmes,Male,"University of Washington, Seattle",Fast approximate submodular minimization.
297,297,Sivaraman Balakrishnan,Male,CMU,Aarti Singh,Male,CMU,Noise Thresholds for Spectral Clustering.
298,298,Dan Feldman,Male,Massachusetts Institute of Technology,Andreas Krause,Male,ETH Zurich,Scalable Training of Mixture Models via Coresets.
