,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
119,119,Joachim Giesen,Male,Friedrich-Schiller-Universitat Jena,Sascha Swiercy,Male,Friedrich-Schiller-Universität Jena,Approximating Concavely Parameterized Optimization Problems.
120,120,Alexandra Carpentier,Male,StatsLab Cambridge,Remi Munos,Male,Google DeepMind,Adaptive Stratified Sampling for Monte-Carlo integration of Differentiable functions.
121,121,Alexandra Carpentier,Male,StatsLab Cambridge,Odalric-Ambrym Maillard,Male,INRIA,Online allocation and homogeneous partitioning for piecewise constant mean-approximation.
122,122,Aditya Khosla,Male,MIT,Aude Oliva,Female,Massachusetts Institute of Technology,Modeling the Forgetting Process using Image Regions.
123,123,Du Tran,Male,Facebook AI,Junsong Yuan,Male,Nanyang Technological University,Max-Margin Structured Output Regression for Spatio-Temporal Action Localization.
124,124,James Hensman,Male,PROWLER.io,Neil D Lawrence,Male,Amazon,Fast Variational Inference in the Conjugate Exponential Family.
125,125,Sergey Feldman,Male,The Bill & Melinda Gates Foundation,Bela A Frigyik,Female,University of Washington,Multi-Task Averaging.
126,126,Mohsen Hejrati,Male,"University of California, Irvine",Deva Ramanan,Male,None,Analyzing 3D Objects in Cluttered Images.
127,127,Elad Mezuman,Male,Hebrew University,Yair Weiss,Male,Hebrew University,Learning about Canonical Views from Internet Image Collections.
128,128,Jianxiong Xiao,Male,Princeton University,Antonio Torralba,Male,Massachusetts Institute of Technology,Localizing 3D cuboids in single-view images.
129,129,Han Liu,Male,Princeton University,Fang Han,Male,Johns Hopkins University,High Dimensional Transelliptical Graphical Models.
130,130,Mark Hsiao,Male,University of Michigan,Alfred Hero,Male,University of Michigan,Multi-criteria Anomaly Detection using Pareto Depth Analysis.
131,131,Marc Deisenroth,Male,University College London,Shakir Mohamed,Male,DeepMind,Expectation Propagation in Gaussian Process Dynamical Systems.
132,132,David Lopez-Paz,Male,Facebook AI Research,Bernhard Schölkopf,Male,"MPI for Intelligent Systems, Tübingen",Semi-Supervised Domain Adaptation with Non-Parametric Copulas.
133,133,Elad Hazan,Male,Technion,Zohar S Karnin,Male,Yahoo! Research,A Polylog Pivot Steps Simplex Algorithm for Classification.
134,134,Ehsan Elhamifar,Male,UC Berkeley,René Vidal,Male,Mathematical Institute for Data Science Johns Hopkins University,Finding Exemplars from Pairwise Dissimilarities via Simultaneous Sparse Recovery.
135,135,Lars Buesing,Male,Columbia University,Maneesh Sahani,Male,"Gatsby Unit, UCL",Spectral learning of linear dynamics from generalised-linear observations with application to neural population data.
136,136,Zhitang Chen,Male,The Chinese University of Hong Kong,Laiwan CHAN,Female,"Department of Computer Science and Engineering, Chinese University of Hong Kong",Causal discovery with scale-mixture model for spatiotemporal variance dependencies.
137,137,FRANCESCA PETRALIA,Female,Mt Sinai School of Medicine,David B Dunson,Male,Duke University,Repulsive Mixtures.
138,138,Yung-Kyun Noh,Male,Hanyang University,Daniel Lee,Male,Cornell Tech,Diffusion Decision Making for Adaptive k-Nearest Neighbor Classification.
