,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
259,259,Nishant A Mehta,Male,University of Victoria,Alexander Gray,Male,Skytree Inc. and Georgia Tech,Minimax Multi-Task Learning and a Generalized Loss-Compositional Paradigm for MTL.
260,260,Suvrit Sra,Male,MIT,Suvrit Sra,Male,MIT,A new metric on the manifold of kernel matrices with application to matrix geometric means.
261,261,Tony Jebara,Male,Spotify,Anna Choromanska,Male,Columbia University,Majorization for CRFs and Latent Likelihoods.
262,262,Yao-Nan Chen,Male,National Taiwan University,Hsuan-Tien Lin,Male,National Taiwan University/Appier,Feature-aware Label Space Dimension Reduction for Multi-label Classification.
263,263,Yuchen Zhang,Male,UC Berkeley,Martin J Wainwright,Male,UC Berkeley,Communication-Efficient Algorithms for Statistical Optimization.
264,264,Eunho Yang,Male,IBM Research,zhandong Liu,Male,University of Pennsylvania,Graphical Models via Generalized Linear Models.
265,265,Aaron Defazio,Male,Ambiata,Tiberio Caetano,Male,NICTA Canberra,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation.
266,266,Yali Wang,Female,Laval University,Brahim Chaib-draa,Male,Laval University,A Marginalized Particle Gaussian Process Regression.
267,267,Sourish Chaudhuri,Male,Carnegie Mellon University,Bhiksha Raj,Male,Carnegie Mellon University,Unsupervised Structure Discovery for Semantic Analysis of Audio.
268,268,Anima Anandkumar,Female,Caltech,Sham M Kakade,Male,Microsoft Research,Learning Mixtures of Tree Graphical Models.
269,269,Victor Gabillon,Male,INRIA,Alessandro Lazaric,Male,Facebook Artificial Intelligence Research,Best Arm Identification: A Unified Approach to Fixed Budget and Fixed Confidence.
270,270,Vinayak Rao,Male,Purdue University,Yee Whye Teh,Male,"University of Oxford, DeepMind",MCMC for continuous-time discrete-state systems.
271,271,Paul Vernaza,Male,Aurora Innovation,Drew Bagnell,Male,Carnegie Mellon University,Efficient high dimensional maximum entropy modeling via symmetric partition functions.
272,272,David A Knowles,Male,Stanford University,Zoubin Ghahramani,Male,Uber and University of Cambridge,A nonparametric variable clustering model.
273,273,Jeff Dean,Male,Google Research,Andrew Y Ng,Male,DeepLearning.AI,Large Scale Distributed Deep Networks.
274,274,Anima Anandkumar,Female,Caltech,Yi-Kai Liu,Male,National Institute of Standards and Technology,A Spectral Algorithm for Latent Dirichlet Allocation.
275,275,Clément Calauzènes,Male,Criteo AI Lab,Patrick Gallinari,Male,"Sorbonne University & Criteo AI Lab, Paris","On the (Non-)existence of Convex, Calibrated Surrogate  Losses for Ranking."
276,276,Youssef Mroueh,Male,IBM,Jean-Jacques Slotine,Male,Massachusetts Institute of Technology,Multiclass Learning  with Simplex Coding.
277,277,Junyuan Xie,Male,None,Enhong Chen,Male,University of Science and Technology of China,Image Denoising and Inpainting with Deep Neural Networks.
278,278,Gal Elidan,Male,Hebrew University,Cobi Cario,Male,Hebrew University,Nonparanormal Belief Propagation (NPBP).
