,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
299,299,Neil Houlsby,Male,Cambridge,Zoubin Ghahramani,Male,Uber and University of Cambridge,Collaborative Gaussian Processes for Preference Learning.
300,300,Takayuki Osogami,Male,IBM Research - Tokyo,Takayuki Osogami,Male,IBM Research - Tokyo,Robustness and risk-sensitivity in Markov decision processes.
301,301,S. Derin Babacan,Male,Google Research,Minh Do,Male,University of Illinois,Probabilistic Low-Rank Subspace Clustering.
302,302,Richard Socher,Male,MetaMind,Andrew Y Ng,Male,DeepLearning.AI,Recursive Deep Learning on 3D Point Clouds.
303,303,Pietro Di Lena,Male,UCI,Ken Nagata,Male,"University of California, Irvine",Deep Spatio-Temporal Architectures and Learning for Protein Structure Prediction.
304,304,Jenna Wiens,Female,Massachusetts Institute of Technology,Eric Horvitz,Male,Microsoft Research,Patient Risk Stratification for Hospital-Associated C. Diff as a Time-Series Classification Task.
305,305,Edouard Klein,Male,Supélec,Olivier Pietquin,Male,Université de Lille 1,Inverse Reinforcement Learning through Structured Classification.
306,306,XianXing Zhang,Male,Duke University,Lawrence Carin,Male,Duke University,Joint Modeling of a Matrix with Associated Text via Latent Binary Features.
307,307,Yanping Huang,Male,University of Washington,Rajesh PN Rao,Male,University of Washington,How Prior Probability Influences Decision Making: A Unifying Probabilistic Model.
308,308,Jingrui He,Male,Stevens Institute of Technology,Bolek K Szymanski,Male,RPI,GenDeR: A Generic Diversified Ranking Algorithm.
309,309,Andriy Mnih,Male,DeepMind,Yee Whye Teh,Male,"University of Oxford, DeepMind",Learning Label Trees for Probabilistic Modelling of Implicit Feedback.
310,310,Andreas Argyriou,Male,Ecole Centrale de Paris,Nati Srebro,Male,TTI-Chicago,Sparse Prediction with the $k$-Support Norm.
311,311,Alex Krizhevsky,Male,University of Toronto,Geoffrey E Hinton,Male,Google & University of Toronto,ImageNet Classification with Deep Convolutional Neural Networks.
312,312,Will Y Zou,Male,Stanford University,Kai Yu,Male,Baidu,Deep Learning of invariant features via tracked video sequences.
313,313,Francisco J. R. Ruiz,Male,Columbia University,Fernando Perez-Cruz,Male,Swiss Data Science Center (ETH Zurich and EPFL),Bayesian Nonparametric Modeling of Suicide Attempts.
314,314,Jun Wang,Male,University of Geneva,Adam Woznica,Male,University of Geneva,Parametric Local Metric Learning for Nearest Neighbor Classification.
315,315,Dmitri B Chklovskii,Male,HHMI,Dmitri B Chklovskii,Male,HHMI,"Neuronal spike generation mechanism as an oversampling, noise-shaping A-to-D converter."
316,316,Samory Kpotufe,Male,Princeton University,Abdeslam Boularias,Male,Max Planck Institute for Intelligent Systems,Gradient Weights help Nonparametric Regressors.
317,317,Mohammad Norouzi,Male,Google Brain,David Fleet,Male,University of Toronto,Hamming Distance Metric Learning.
318,318,Kevin G Jamieson,Male,University of Wisconsin,Benjamin Recht,Male,UW-Madison,Query Complexity of Derivative-Free Optimization.
,,,,,,,,
