,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
339,339,Guille D Canas,Male,Massachusetts Institute of Technology,Lorenzo Rosasco,Male,University of Genova- MIT - IIT,Learning Manifolds with K-Means and K-Flats.
340,340,Bogdan Alexe,Male,ETH ZURICH,Vittorio Ferrari,Male,University of Edinburgh,Searching for objects driven by context.
341,341,Manuel Lopes,Male,INRIA,Pierre-Yves Oudeyer,Male,INRIA,Exploration in Model-based Reinforcement Learning by Empirically Estimating Learning Progress.
342,342,Tomasz Trzcinski,Male,EPFL,Pascal Fua,Male,Ecole Polytechnique Federal de Lausanne,Learning Image Descriptors with the Boosting-Trick.
343,343,Henrik Ohlsson,Male,Linköping university,Shankar Sastry,Male,"Department of EECS, UC Berkeley",CPRL -- An Extension of Compressive Sensing to the Phase Retrieval Problem.
344,344,Konstantinos Tsianos,Male,Amazon,Michael Rabbat,Male,University of Wisconsin-Madison,Communication/Computation Tradeoffs in Consensus-Based Distributed Optimization.
345,345,Miguel Lazaro-Gredilla,Male,Universidad Carlos III de Madrid,Miguel Lazaro-Gredilla,Male,Universidad Carlos III de Madrid,Bayesian Warped Gaussian Processes.
346,346,Brett Vintch,Male,iheartradio,Eero Simoncelli,Male,FlatIron Institute / New York University,Efficient and direct estimation of a neural subunit model for sensory coding.
347,347,Krik Muandet,Male,Max Planck Institute for Intelligent Systems,Bernhard Schölkopf,Male,"MPI for Intelligent Systems, Tübingen",Learning from Distributions via Support Measure Machines.
348,348,Sahand N Negahban,Male,"University of California, Berkeley",Devavrat Shah,Male,Massachusetts Institute of Technology,Iterative ranking from pair-wise comparisons.
349,349,Oriol Vinyals,Male,Google DeepMind,Trevor Darrell,Male,UC Berkeley,Learning with Recursive Perceptual Representations.
350,350,Peder A Olsen,Male,IBM,Steven J Rennie,Male,IBM Research,Newton-Like Methods for Sparse Inverse Covariance Estimation.
351,351,Kevin Tang,Male,Stanford University,Daphne Koller,Female,insitro,Shifting Weights: Adapting Object Detectors from Image to Video.
352,352,Qixia Jiang,Male,Tsinghua University,Eric Xing,Male,Petuum Inc. /  Carnegie Mellon University,Monte Carlo Methods for Maximum Margin Supervised Topic Models.
353,353,Demba Ba,Male,MIT/Harvard,Emery Brown,Male,MIT/Harvard,Exact and Stable Recovery of Sequences of Signals with Sparse Increments via Differential ℓ1-Minimization.
354,354,Peter Krafft,Male,Massachusetts Institute of Technology,Bruce Desmarais,Male,University of Massachusetts Amherst,Topic-Partitioned Multinetwork Embeddings.
355,355,Pradeep Shenoy,Male,"University of California, San Diego",Angela Yu,Female,UC San Diego,Strategic Impatience in Go/NoGo versus Forced-Choice Decision-Making.
356,356,Maksims Volkovs,Male,University of Toronto,Richard Zemel,Male,Vector Institute/University of Toronto,Collaborative Ranking With 17 Parameters.
357,357,Pinghua Gong,Male,Tsinghua University,Changshui Zhang,Male,Tsinghua University,Multi-Stage Multi-Task Feature Learning.
358,358,Abhimanyu Das,Male,Yahoo!,Ravi Kumar,Male,Yahoo!,Selecting Diverse Features via Spectral Regularization.
