,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
159,159,Myunghwan Kim,Male,Stanford University,Jure Leskovec,Male,Stanford University/Pinterest,Nonparametric Multi-group Membership Model for Dynamic Networks.
160,160,Vikash Mansinghka,Male,Massachusetts Institute of Technology,Josh Tenenbaum,Male,MIT,Approximate Bayesian Image Interpretation using Generative Probabilistic Graphics Programs.
161,161,David G Barrett,Male,École Normale Supérieure,Christian Machens,Male,Fundacao Champalimaud PT507131827,Firing rate predictions in optimal balanced networks.
162,162,Shouyuan Chen,Male,CUHK,Zenglin Xu,Male,University of Electronic Science & Technology of China,Exact and Stable Recovery of Pairwise Interaction Tensors.
163,163,Raman Arora,Male,Johns Hopkins University,Nati Srebro,Male,TTI-Chicago,Stochastic Optimization of PCA with Capped MSG.
164,164,Hanlin Goh,Male,-,Joo-Hwee Lim,Male,"Institute for Infocomm Research, Singapore",Top-Down Regularization of Deep Belief Networks.
165,165,Jasper Snoek,Male,Google Brain,Ryan Adams,Male,Princeton University,A Determinantal Point Process Latent Variable Model for Inhibition in Neural Spiking Data.
166,166,Agnieszka Grabska-Barwinska,Male,Google DeepMind,Peter E Latham,Male,"Gatsby Unit, UCL",Demixing odors - fast inference in olfaction.
167,167,Baharan Mirzasoleiman,Male,Stanford University,Andreas Krause,Male,ETH Zurich,Distributed Submodular Maximization: Identifying Representative Elements in Massive Data.
168,168,Remi Gribonval,Male,Inria & ENS de Lyon,Pierre Machart,Male,INRIA,"Reconciling ""priors'' & ""priors"" without prejudice?."
169,169,Rupesh K Srivastava,Male,NNAISENSE,Jürgen Schmidhuber,Male,"Swiss AI Lab, IDSIA (USI & SUPSI) - NNAISENSE",Compete to Compute.
170,170,Il Memming Park,Male,Stony Brook University,Jonathan W Pillow,Male,UT Austin,Universal models for binary spike patterns using centered Dirichlet processes.
171,171,Shaobo Han,Male,Duke University,Lawrence Carin,Male,Duke University,Integrated Non-Factorized Variational Inference.
172,172,Ari Pakman,Male,Columbia University,Liam Paninski,Male,Columbia University,Auxiliary-variable Exact Hamiltonian Monte Carlo Samplers for Binary Distributions.
173,173,Abbas Edalat,Male,Imperial College London,Abbas Edalat,Male,Imperial College London,Capacity of strong attractor patterns to model behavioural and cognitive prototypes.
174,174,Matthew Johnson,Male,MIT,Alan S Willsky,Male,Massachusetts Institute of Technology,Analyzing Hogwild Parallel Gaussian Gibbs Sampling.
175,175,Arash Amini,Male,UCLA,Long Nguyen,Male,University of Michigan,Bayesian inference as iterated random functions with  applications to sequential inference in graphical models.
176,176,Özlem Aslan,Male,University of Alberta,Dale Schuurmans,Male,Google Brain & University of Alberta,Convex Two-Layer Modeling.
177,177,Tomas Mikolov,Male,Google Research,Jeff Dean,Male,Google Research,Distributed Representations of Words and Phrases and their Compositionality.
178,178,Sam Patterson,Male,"Gatsby Unit, UCL",Yee Whye Teh,Male,"University of Oxford, DeepMind",Stochastic Gradient Riemannian Langevin Dynamics on the Probability Simplex.
