,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
279,279,Marco Cuturi,Male,Google Brain  &  CREST - ENSAE,Marco Cuturi,Male,Google Brain  &  CREST - ENSAE,Sinkhorn Distances: Lightspeed Computation of Optimal Transport.
280,280,Paul Valiant,Male,IAS; Purdue University,Gregory Valiant,Male,Stanford University,Estimating the Unseen: Improved Estimators for Entropy and other Properties.
281,281,Min Xu,Male,CMU,Tie-Yan Liu,Male,Microsoft Research,Estimation Bias in Multi-Armed Bandit Algorithms for Search Advertising.
282,282,Shunan Zhang,Male,UC San Diego,Angela Yu,Female,UC San Diego,Forgetful Bayes and myopic planning: Human learning and decision-making in a bandit setting.
283,283,Josip Djolonga,Male,"Google Research, Brain Team",Volkan Cevher,Male,EPFL,High-Dimensional Gaussian Process Bandits.
284,284,Xiaoxiao Guo,Male,"University of Michigan, Ann Arbor",Richard L Lewis,Male,University of Michigan,Reward Mapping for Transfer in Long-Lived Agents.
285,285,Yuening Hu,Male,University of Maryland,Z. Irene Ying,Female,US Department of Agriculture,Binary to Bushy: Bayesian Hierarchical Clustering with the Beta Coalescent.
286,286,Jason Chang,Male,Google,John Fisher III,Male,MIT,Parallel Sampling of DP Mixture Models using Sub-Cluster Splits.
287,287,Zhenwen Dai,Male,University of Sheffield,Jörg Lücke,Male,TU Berlin,What Are the Invariant Occlusive Components of Image Patches? A Probabilistic Generative Approach.
288,288,Nicolò Cesa-Bianchi,Male,"Università degli Studi di Milano, Italy",Ohad Shamir,Male,Weizmann Institute of Science,Online Learning with Switching Costs and Other Adaptive Adversaries.
289,289,Shane Griffith,Male,Georgia Tech,Andrea L Thomaz,Male,Georgia Tech,Policy Shaping: Integrating Human Feedback with Reinforcement Learning.
290,290,Navid Zolghadr,Male,University of Alberta,Csaba Szepesvari,Male,DeepMind / University of Alberta,Online Learning with Costly Features and Labels.
291,291,Chen-Ping Yu,Male,Stony Brook University,Greg Zelinsky,Male,Stony Brook University,Modeling Clutter Perception using Parametric Proto-object Partitioning.
292,292,Ying Liu,Female,Google Inc.,Alan S Willsky,Male,Massachusetts Institute of Technology,Learning Gaussian Graphical Models with Observed or Latent FVSs.
293,293,Gilles Louppe,Male,University of Liège,Pierre Geurts,Male,Université de Liège,Understanding variable importances in forests of randomized trees.
294,294,Yu Zhang,Male,Hong Kong Baptist University,Yu Zhang,Male,Hong Kong Baptist University,Heterogeneous-Neighborhood-based Multi-Task Local Learning Algorithms.
295,295,Alexandros Paraschos,Male,TU Darmstadt,Gerhard Neumann,Male,TU Darmstadt,Probabilistic Movement Primitives.
296,296,Jason D Lee,Male,Stanford,Jonathan E Taylor,Male,Stanford University,On model selection consistency of penalized M-estimators: a geometric theory.
297,297,Yangqing Jia,Male,Alibaba Group,Trevor Darrell,Male,UC Berkeley,Visual Concept Learning: Combining Machine Vision and Bayesian Generalization on Concept Hierarchies.
298,298,Francesco Orabona,Male,Boston University,Francesco Orabona,Male,Boston University,Dimension-Free Exponentiated Gradient.
