,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
19,19,Aaron van den Oord,Male,,Benjamin Schrauwen,Male,Ghent University,Factoring Variations in Natural Images with Deep Gaussian Mixture Models.
20,20,Sebastian Stober,Male,Western University,Jessica A Grahn,Female,None,Using Convolutional Neural Networks to Recognize Rhythm ￼Stimuli from Electroencephalography Recordings.
21,21,Nan Li,Female,Alibaba Group,Zhi-Hua Zhou,Male,Nanjing University,Top Rank Optimization in Linear Time.
22,22,Robert Nishihara,Male,Anyscale,Michael Jordan,Male,UC Berkeley,On the Convergence Rate of Decomposable Submodular Function Minimization.
23,23,Halid Z Yerebakan,Male,IUPUI,Murat Dundar,Male,IUPUI,The Infinite Mixture of Infinite Gaussian Mixtures.
24,24,Prateek Jain,Male,Microsoft Research,Puru Kar,Male,Indian Institute of Technology Kanpur,On Iterative Hard Thresholding Methods for High-dimensional M-Estimation.
25,25,Bo Dai,Male,Google Brain,Le Song,Male,Georgia Institute of Technology,Scalable Kernel Methods via Doubly Stochastic Gradients.
26,26,Yuanjun Xiong,Male,The Chinese University of Hong Kong,Xiaoou Tang,Male,Chinese University of Hong Kong,Zeta Hull Pursuits: Learning Nonconvex Data Hulls.
27,27,Rob A Vandermeulen,Male,TU Kaiserslautern,Clay Scott,Male,University of Michigan,Robust Kernel Density Estimation by Scaling and Projection in Hilbert Space.
28,28,Changyou Chen,Male,University at Buffalo,Xinhua Zhang,Male,University of Illinois at Chicago (UIC),Robust Bayesian Max-Margin Clustering.
29,29,Calvin McCarter,Male,Carnegie Mellon University,Seyoung Kim,Male,CMU,On Sparse Gaussian Chain Graph Models.
30,30,Yuancheng Zhu,Male,University of Chicago,John Lafferty,Male,Yale University,Quantized Estimation of Gaussian Sequence Models in Euclidean Balls.
31,31,Xianghang Liu,Male,NICTA/UNSW,Justin Domke,Male,NICTA,Projecting Markov Random Field Parameters for Fast Mixing.
32,32,Yunpeng Pan,Male,JD.com -- JD X Robotics Research Center,Evangelos Theodorou,Male,Georgia Tech,Probabilistic Differential Dynamic Programming.
33,33,Yingbo Zhou,Male,State University of New York at Buffalo,Venu Govindaraju,Male,SUNY Buffalo,Parallel Feature Selection Inspired by Group Testing.
34,34,Roi Livni,Male,Hebrew University,Ohad Shamir,Male,Weizmann Institute of Science,On the Computational Efficiency of Training Neural Networks.
35,35,Kumar Avinava Dubey,Male,Google Research,Eric Xing,Male,Petuum Inc. /  Carnegie Mellon University,Dependent nonparametric trees for dynamic hierarchical clustering.
36,36,Mehmet Gönen,Male,Oregon Health & Science University,Adam A Margolin,Male,Oregon Health & Science University,Localized Data Fusion for Kernel k-Means Clustering with Application to Cancer Biology.
37,37,Yariv D Mizrahi,Male,University of British Columbia,Nando de Freitas,Male,University of Oxford,Distributed Parameter Estimation in Probabilistic Graphical Models.
38,38,Guy Bresler,Male,Massachusetts Institute of Technology,Devavrat Shah,Male,Massachusetts Institute of Technology,Structure learning of antiferromagnetic Ising models.
