,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
59,59,Mingyuan Zhou,Male,University of Texas at Austin,Mingyuan Zhou,Male,University of Texas at Austin,Beta-Negative Binomial Process and Exchangeable ￼Random Partitions for Mixed-Membership Modeling.
60,60,Romain Paulus,Male,MetaMind,Chris Manning,Male,Stanford University,Global Belief Recursive Neural Networks.
61,61,Trapit Bansal,Male,University of Massachusetts Amherst,Ravindran Kannan,Male,Indian Institute of Science,A provable SVD-based algorithm for learning topics in dominant admixture corpus.
62,62,Krik Muandet,Male,Max Planck Institute for Intelligent Systems,Bernhard Schölkopf,Male,"MPI for Intelligent Systems, Tübingen",Kernel Mean Estimation via Spectral Filtering.
63,63,Tapani Raiko,Male,Apple Inc.,Yoshua Bengio,Male,University of Montreal,Iterative Neural Autoregressive Distribution Estimator NADE-k.
64,64,Jun Zhu,Male,"University of California, Los Angeles",Alan L Yuille,Male,UCLA,Learning From Weakly Supervised Data by The Expectation Loss SVM (e-SVM) algorithm.
65,65,Been Kim,Male,Google Brain,Julie A Shah,Female,MIT,The Bayesian Case Model: A Generative Approach for Case-Based Reasoning and Prototype Classification.
66,66,Takayuki Osogami,Male,IBM Research - Tokyo,Makoto Otsuka,Male,IBM Research - Tokyo,Restricted Boltzmann machines modeling human choice.
67,67,Daniele Calandriello,Female,LCSL IIT/MIT,Marcello Restelli,Male,Politecnico di Milano,Sparse Multi-Task Reinforcement Learning.
68,68,Scott Linderman,Male,Columbia University,Ryan Adams,Male,Princeton University,A framework for studying synaptic plasticity with neural spike train data.
69,69,Wouter M Koolen,Male,Centrum Wiskunde & Informatica,Peter Bartlett,Male,UC Berkeley,Efficient Minimax Strategies for Square Loss Games.
70,70,Xianjie Chen,Male,Facebook,Alan L Yuille,Male,UCLA,Articulated Pose Estimation by a Graphical Model with Image Dependent Pairwise Relations.
71,71,Aaron Defazio,Male,Ambiata,Simon Lacoste-Julien,Male,Université de Montréal,SAGA: A Fast Incremental Gradient Method With Support for Non-Strongly Convex Composite Objectives.
72,72,Jie Wang,Male,Arizona State University,Jieping Ye,Male,Arizona State University,A Safe Screening Rule for Sparse Logistic Regression.
73,73,Fajwel Fogel,Male,École Polytechnique,Milan Vojnovic,Male,Microsoft Research,SerialRank: Spectral Ranking using Seriation.
74,74,Huahua Wang,Male,"University of Minnesota, Twin Cites",Zhi-Quan Luo,Male,"University of Minnesota, Twin Cites",Parallel Direction Method of Multipliers.
75,75,Sewoong Oh,Male,UIUC,Devavrat Shah,Male,Massachusetts Institute of Technology,Learning Mixed Multinomial Logit Model from Ordinal Data.
76,76,Arun Rajkumar,Male,Indian Institute of Technology Madras,Shivani Agarwal,Male,University of Pennsylvania,Online Decision-Making in General Combinatorial Spaces.
77,77,Yanping Huang,Male,University of Washington,Rajesh PN Rao,Male,University of Washington,Neurons as Monte Carlo Samplers: Bayesian ￼Inference and Learning in Spiking Networks.
78,78,Guillaume Hennequin,Male,University of Cambridge,Mate Lengyel,Male,University of Cambridge,Fast Sampling-Based Inference in Balanced Neuronal Networks.
