,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
79,79,Harsh H Pareek,Male,UT Austin,Pradeep Ravikumar,Male,Carnegie Mellon University,A Representation Theory for Ranking Functions.
80,80,Roy Frostig,Male,Google Research,Christopher D Manning,Male,Stanford University,Simple MAP Inference via Low-Rank Relaxations.
81,81,Jason Chang,Male,Google,John Fisher III,Male,MIT,Parallel Sampling of HDPs using Sub-Cluster Splits.
82,82,Wouter M Koolen,Male,Centrum Wiskunde & Informatica,Peter Grünwald,Male,CWI and Leiden University,Learning the Learning Rate for Prediction with Expert Advice.
83,83,Qichao Que,Male,The Ohio State University,Yusu Wang,Male,Ohio State University,Learning with Fredholm Kernels.
84,84,Sung Ju Hwang,Male,Disney Research,Leonid Sigal,Male,University of British Columbia,A Unified Semantic Embedding: Relating Taxonomies and Attributes.
85,85,Viet-An Nguyen,Male,Facebook,Jonathan Chang,Male,Facebook,Learning a Concept Hierarchy from Multi-labeled Documents.
86,86,Yinlam Chow,Male,Google,Mohammad Ghavamzadeh,Male,Facebook AI Research,Algorithms for CVaR Optimization in MDPs.
87,87,Haim Avron,Male,Tel Aviv University,David Woodruff,Male,IBM Research,Subspace Embeddings for the Polynomial Kernel.
88,88,Lionel Ott,Male,University of Sydney,Sanjay Chawla,Male,QCRI,On Integrated Clustering and Outlier Detection.
89,89,Balaji Lakshminarayanan,Male,Google Brain,Yee Whye Teh,Male,"University of Oxford, DeepMind",Mondrian Forests: Efficient Online Random Forests.
90,90,John J Bruer,Male,Caltech,Stephen Becker,Male,University of Colorado,Time--Data Tradeoffs by Aggressive Smoothing.
91,91,Zhaoran Wang,Male,Princeton University,Han Liu,Male,Tencent AI Lab,Tighten after Relax: Minimax-Optimal Sparse PCA in Polynomial Time.
92,92,Ramya Korlakai Vinayak,Female,University of Washington,Babak Hassibi,Male,Caltech,Graph Clustering With Missing Data: Convex Algorithms and Analysis.
93,93,Sarath Chandar Anbil Parthipan,Male,"Mila, Polytechnique Montreal",Amrita Saha,Female,IBM India Research Lab,An Autoencoder Approach to Learning Bilingual Word Representations.
94,94,Rupam Mahmood,Male,University of Alberta,Rich Sutton,Male,"DeepMind, U Alberta",Weighted importance sampling for off-policy learning with linear function approximation.
95,95,Hyun Oh Song,Male,Seoul National University,Trevor Darrell,Male,UC Berkeley,Weakly-supervised Discovery of Visual Pattern Configurations.
96,96,Jingwei Liang,Male,"Normandie University, ENSICAEN, CNRS",Gabriel Peyré,Male,Université Paris Dauphine,Local Linear Convergence of Forward--Backward under Partial Smoothness.
97,97,Dohyung Park,Male,UT Austin,Sujay Sanghavi,Male,UT-Austin,Greedy Subspace Clustering.
98,98,Daniel Soudry,Male,Technion,Ron Meir,Male,Technion,Expectation Backpropagation: Parameter-Free Training of Multilayer Neural Networks with Continuous or Discrete Weights.
