,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
139,139,Weijie Su,Male,Stanford University,Emmanuel Candes,Male,Stanford University,A Differential Equation for Modeling Nesterov’s Accelerated Gradient Method: Theory and Insights.
140,140,Jianbo Yang,Male,Duke University,Lawrence Carin,Male,Duke University,Compressive Sensing of Signals from a GMM with Sparse Precision Matrices.
141,141,Lars Buesing,Male,Columbia University,Liam Paninski,Male,Columbia University,Clustered factor analysis of multineuronal spike data.
142,142,Julien Mairal,Male,Inria,Cordelia Schmid,Female,Inria / Google,Convolutional Kernel Networks.
143,143,Kim Stachenfeld,Female,DeepMind,Samuel J Gershman,Male,Harvard University,Design Principles of the Hippocampal Cognitive Map.
144,144,Andrew Wilson,Male,University of Cambridge,Arye Nehorai,Male,Washington University in St. Louis,Fast Kernel Learning for Multidimensional Pattern Extrapolation.
145,145,Wei Liu,Male,Tencent AI Lab,Shih-Fu Chang,Male,Columbia University,Discrete Graph Hashing.
146,146,Jon L Long,Male,UC Berkeley,Trevor Darrell,Male,UC Berkeley,Do Convnets Learn Correspondence?.
147,147,Hasta P Vanchinathan,Male,1plusX,Andreas Krause,Male,ETH Zurich,Efficient Partial Monitoring with Prior Information.
148,148,Jie Wang,Male,Arizona State University,Jieping Ye,Male,Arizona State University,Two-Layer Feature Reduction for Sparse-Group Lasso via Decomposition of Convex Sets.
149,149,Karen Simonyan,Male,Google DeepMind,Andrew Zisserman,Male,DeepMind & University of Oxford,Two-Stream Convolutional Networks for Action Recognition in Videos.
150,150,Adarsh Prasad,Male,UT Austin,Dhruv Batra,Male,Georgia Tech / Facebook AI Research (FAIR),Submodular meets Structured: Finding Diverse Subsets in Exponentially-Large Structured Item Sets.
151,151,Weizhu Chen,Male,Microsoft Dynamics 365 AI,Jingren Zhou,Male,Microsoft,Large-scale L-BFGS using MapReduce.
152,152,Robert Gens,Male,University of Washington,Pedro Domingos,Male,University of Washington,Deep Symmetry Networks.
153,153,Vivek Srikumar,Male,University of Utah,Christopher D Manning,Male,Stanford University,Learning Distributed Representations for Structured Output Prediction.
154,154,Wojciech Zaremba,Male,OpenAI,Rob Fergus,Male,DeepMind / NYU,Learning to Discover Efficient Mathematical Identities.
155,155,Elad Hazan,Male,Technion,Kfir Y. Levy,Male,Technion,Bandit Convex Optimization: Towards Tight Bounds.
156,156,Srikanth Jagabathula,Male,NYU,Ashwin Venkataraman,Male,New York University,Reputation-based Worker Filtering in Crowdsourcing.
157,157,Woonhyun Nam,Male,StradVision,Joon Hee Han,Male,POSTECH,Local Decorrelation For Improved Pedestrian Detection.
158,158,Sina Tootoonian,Male,University of Cambridge,Mate Lengyel,Male,University of Cambridge,A Dual Algorithm for Olfactory Computation in the Locust Brain.
