,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
179,179,Xiangyu Wang,Male,Google Inc.,David B Dunson,Male,Duke University,Median Selection Subset Aggregation for Parallel Inference.
180,180,Deeparnab Chakrabarty,Male,Microsoft,Pravesh Kothari,Male,UT Austin,Provable Submodular Minimization using Wolfe's Algorithm.
181,181,Dylan Festa,Male,University of Cambridge,Mate Lengyel,Male,University of Cambridge,Analog Memories in a Balanced Rate-Based Network of E-I Neurons.
182,182,Roger Frigola,Male,University of Cambridge,Carl Edward Rasmussen,Male,University of Cambridge,Variational Gaussian Process State-Space Models.
183,183,Charlie Tang,Male,Apple Inc.,Russ Salakhutdinov,Male,Carnegie Mellon University,Learning Generative Models with Visual Attention.
184,184,Ilya Sutskever,Male,Google,Quoc V Le,Male,Google,Sequence to Sequence Learning with Neural Networks.
185,185,Patrick Putzky,Male,Max Planck Institute for Biological Cybernetics,Jakob H Macke,Male,University of Tübingen & MPI IS Tübingen,A Bayesian model for identifying hierarchically organised states in neural population activity.
186,186,Guy Bresler,Male,Massachusetts Institute of Technology,Devavrat Shah,Male,Massachusetts Institute of Technology,A Latent Source Model for Online Collaborative Filtering.
187,187,Boqing Gong,Male,University of Southern California (USC),Fei Sha,Male,University of Southern California (USC),Diverse Sequential Subset Selection for Supervised Video Summarization.
188,188,Jamie Kiros,Male,Google Brain,Russ Salakhutdinov,Male,Carnegie Mellon University,A Multiplicative Model for Learning Distributed Text-Based Attribute Representations.
189,189,Yuanyuan Mi,Male,Weizmann Institute of Science,Si Wu,Male,Beijing Normal University,A Synaptical Story of Persistent Activity with Graded Lifetime in a Neural System.
190,190,Shiau-Hong Lim,Male,National University of Singapore,Huan Xu,male,National University of Singapore,Clustering from Labels and Time-Varying Graphs.
191,191,Qihang Lin,Male,University of Iowa,Lin Xiao,Male,Facebook AI Research,An Accelerated Proximal Coordinate Gradient Method.
192,192,Trung V Nguyen,Male,ANU; NICTA,Edwin Bonilla,Male,CSIRO's Data61,Automated Variational Inference for Gaussian Process Models.
193,193,Sebastian Tschiatschek,Male,Graz University of Technology,Jeff A Bilmes,Male,"University of Washington, Seattle",Learning Mixtures of Submodular Functions for Image Collection Summarization.
194,194,Prem Gopalan,Male,The Voleon Group,David Blei,Male,Columbia University,Content-based recommendations with Poisson factorization.
195,195,Xiaoxiao Guo,Male,"University of Michigan, Ann Arbor",Xiaoshi Wang,Male,University of Michigan,Deep Learning for Real-Time Atari Game Play Using Offline Monte-Carlo Tree Search Planning.
196,196,Cong Xie,Male,Shanghai Jiao Tong University,Zhihua Zhang,Male,Shanghai Jiao Tong University,Distributed Power-law Graph Computing: Theoretical and Empirical Analysis.
197,197,Bruce Hajek,Male,None,Jiaming Xu,Male,University of Illinois at Urbana Champaign,Minimax-optimal Inference from Partial Rankings.
198,198,Yi Sun,Male,The Chinese University of Hong Kong,Xiaoou Tang,Male,Chinese University of Hong Kong,Deep Learning Face Representation by Joint Identification-Verification.
