,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
199,199,Pritish Mohapatra,Male,"International Institute of Information Technology, Hyderabad",M. Pawan Kumar,Male,Ecole Centrale Paris,Efficient Optimization for Average Precision SVM.
200,200,Peter Kairouz,Male,Google,Pramod Viswanath,Male,UIUC,Extremal Mechanisms for Local Differential Privacy.
201,201,João Henriques,Male,University of Oxford,Jorge Batista,Male,University of Coimbra,Fast Training of Pose Detectors in the Fourier Domain.
202,202,Harikrishna Narasimhan,Male,Google AI,Shivani Agarwal,Male,University of Pennsylvania,On the Statistical Consistency of Plug-in Classifiers for Non-decomposable Performance Measures.
203,203,Happy Mittal,Male,IIT Delhi,Parag Singla,Male,Indian Institute of Technology Delhi,New Rules for Domain Independent Lifted MAP Inference.
204,204,Odalric-Ambrym Maillard,Male,INRIA,Shie Mannor,Male,Technion,"""How hard is my MDP?"" The distribution-norm to the rescue."
205,205,Maria-Florina F Balcan,Female,Georgia Tech,Le Song,Male,Georgia Institute of Technology,Active Learning and Best-Response Dynamics.
206,206,Sivan Sabato,Male,Ben Gurion University,Remi Munos,Male,Google DeepMind,Active Regression by Stratification.
207,207,Yuanyuan Liu,Male,The Chinese University of Hong Kong,Hong Cheng,Male,The Chinese University of Hong Kong,Generalized Higher-Order Orthogonal Iteration for Tensor Decomposition and Completion.
208,208,Stefan Wager,Male,Stanford University,Percy Liang,Male,Stanford University,Altitude Training: Strong Bounds for Single-Layer Dropout.
209,209,Giorgio Patrini,Male,Australian National University / NICTA,Paul Rivera,Male,None,(Almost) No Label No Cry.
210,210,Lee-Ad Gottlieb,Male,Ariel University,Pinhas Nisnevitch,Male,Ariel University,Near-optimal sample compression for nearest neighbors.
211,211,Tor Lattimore,Male,DeepMind,Remi Munos,Male,Google DeepMind,Bounded Regret for Finite-Armed Structured Bandits.
212,212,Omer Levy,Male,Facebook AI Research,Yoav Goldberg,Male,Bar-Ilan University,Neural Word Embedding as Implicit Matrix Factorization.
213,213,Michalis Titsias,Male,DeepMind,Christopher Yau,Male,University of Oxford,Hamming Ball Auxiliary Sampling for Factorial Hidden Markov Models.
214,214,Somdeb Sarkhel,Male,University of Texas at Dallas,Vibhav Gogate,Male,UT Dallas,An Integer Polynomial Programming Based Framework for Lifted MAP Inference.
215,215,Kevin Moon,Male,Utah State University,Alfred Hero,Male,University of Michigan,Multivariate f-divergence Estimation With Confidence.
216,216,Brian McWilliams,Male,ETH Zurich,Joachim M Buhmann,Male,ETH Zurich,Fast and Robust Least Squares Estimation in Corrupted Linear Models.
217,217,Daniel M Steinberg,Male,Data61,Edwin Bonilla,Male,CSIRO's Data61,Extended and Unscented Gaussian Processes.
218,218,Pranjal Awasthi,Male,Princeton,Aravindan Vijayaraghavan,Male,Carnegie Mellon University,Learning Mixtures of Ranking Models.
