,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
299,299,Deepak Venugopal,Male,The University of Texas at Dallas (UT Dallas),Vibhav Gogate,Male,UT Dallas,Scaling-up Importance Sampling for Markov Logic Networks.
300,300,Ian En-Hsu Yen,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Sparse Random Feature Algorithm as Coordinate Descent in Hilbert Space.
301,301,Özlem Aslan,Male,University of Alberta,Dale Schuurmans,Male,Google Brain & University of Alberta,Convex Deep Learning via Normalized Kernels.
302,302,Minh Ha Quang,Male,Istituto Italiano di Tecnologia,Vittorio Murino,Male,Istituto Italiano di Tecnologia,Log-Hilbert-Schmidt metric between positive definite operators on Hilbert spaces.
303,303,Sahar Akram,Male,University of Maryland,Behtash Babadi,Male,University of Maryland,A State-Space Model for Decoding Auditory Attentional Modulation from MEG in a Competing-Speaker Environment.
304,304,Shameem Puthiya Parambath,Male,Université de Technologie de Compiègne,Yves Grandvalet,Male,Université de Technologie de Compiégne,Optimizing F-Measures by Cost-Sensitive Classification.
305,305,Ricardo Henao,Male,Duke University,Lawrence Carin,Male,Duke University,Bayesian Nonlinear Support Vector Machines and Discriminative Factor Modeling.
306,306,Marta Soare,Female,INRIA Lille - Nord Europe,Remi Munos,Male,Google DeepMind,Best-Arm Identification in Linear Bandits.
307,307,Quanquan Gu,Male,University of Virginia,Han Liu,Male,Tencent AI Lab,Sparse PCA with Oracle Property.
308,308,Ricardo Silva,Male,University College London,Robin Evans,Male,University of Oxford,Causal Inference through a Witness Protection Program.
309,309,Mohammad T Irfan,Male,Bowdoin College,Luis E Ortiz,Male,University of Michigan - Dearborn,Causal Strategic Inference in Networked Microfinance Economies.
310,310,Kaustubh R Patil,Male,Affective Brain Lab,Bradley C Love,Male,University College London,Optimal Teaching for Limited-Capacity Human Learners.
311,311,Florian Stimberg,Male,TU Berlin,Manfred Opper,Male,TU Berlin,Poisson Process Jumping between an Unknown Number of Rates: Application to Neural Spike Data.
312,312,Volodymyr Mnih,Male,DeepMind,koray kavukcuoglu,Male,DeepMind,Recurrent Models of Visual Attention.
313,313,Pietro Vertechi,Male,Champalimaud Center for the Unknown,Christian Machens,Male,Fundacao Champalimaud PT507131827,Unsupervised learning of an efficient short-term memory network.
314,314,Neil Houlsby,Male,Cambridge,David Blei,Male,Columbia University,A Filtering Approach to Stochastic Variational Inference.
315,315,Ryan D Turner,Male,Northrop Grumman,Bhargav Avasarala,Male,Northrop Grumman Corp,A Complete Variational Tracker.
316,316,Nan Ding,Male,Google,Hartmut Neven,Male,Google,Bayesian Sampling Using Stochastic Gradient Thermostats.
317,317,Cong Han Lim,Male,University of Wisconsin - Madison,Stephen Wright,Male,UW-Madison,Beyond the Birkhoff Polytope: Convex Relaxations for Vector Permutation Problems.
318,318,Mu Li,Male,CMU,Kai Yu,Male,Baidu,Communication Efficient Distributed Machine Learning with the Parameter Server.
