,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
319,319,Po-Ling Loh,Female,University of Wisconsin - Madison,Andre Wibisono,Male,Georgia Tech,Concavity of reweighted Kikuchi approximation.
320,320,Guy Rosman,Male,Massachusetts Institute of Technology,Daniela Rus,Female,Massachusetts Institute of Technology,Coresets for k-Segmentation of Streaming Data.
321,321,Baotian Hu,Male,Harbin Institute of Technology Shenzhen Graduate School(HITSZ),Qingcai Chen,Male,Harbin Institute of Technology Shenzhen Graduate School,Convolutional Neural Network Architectures for Matching Natural Language Sentences.
322,322,Emtiyaz Khan,Male,RIKEN,Emtiyaz Khan,Male,RIKEN,Decoupled Variational Gaussian Inference.
323,323,Ozan Irsoy,Male,Cornell University,Claire Cardie,Female,Cornell University,Deep Recursive Neural Networks for Compositionality in Language.
324,324,Greg Ver Steeg,Male,USC Information Sciences Institute,Aram Galstyan,Male,USC Information Sciences Institute,Discovering Structure in High-Dimensional Data Through Correlation Explanation.
325,325,Minjie Xu,Male,Bloomberg LP,Bo Zhang,Male,Tsinghua University,Distributed Bayesian Posterior Sampling via Moment Sharing.
326,326,Jennifer A Gillenwater,Female,University of Pennsylvania,Ben Taskar,Male,University of Washington,Expectation-Maximization for Learning Determinantal Point Processes.
327,327,Joao Semedo,Male,Carnegie Mellon University,Byron M Yu,Male,Carnegie Mellon University,Extracting Latent Structure From Multiple Interacting Neural Populations.
328,328,Tianbao Yang,Male,University of Iowa,Rong Jin,Male,Michigan State University (MSU),Extracting Certainty from Uncertainty: Transductive Pairwise Classification from Pairwise Similarities.
329,329,Margareta Ackerman,Female,Florida State University,Sanjoy Dasgupta,Male,UC San Diego,Incremental Clustering: The Case for Extra Clusters.
330,330,Vincent Michalski,Male,Goethe University Frankfurt,Kishore Konda,Male,Goethe University Frankfurt,"Modeling Deep Temporal Dependencies with Recurrent ""Grammar Cells""."
331,331,Han Liu,Male,Tencent AI Lab,Tuo Zhao,Male,Johns Hopkins University       Princeton University,Multivariate Regression with Calibration.
332,332,Sanmi Koyejo,Male,Illinois / Google,Russell Poldrack,Male,University of Texas,On Prior Distributions and Approximate Inference for Structured Variables.
333,333,Sang-Yun Oh,Male,Lawrence Berkeley Lab,Bala Rajaratnam,Male,Stanford University,Optimization Methods for Sparse Pseudo-Likelihood Graphical Model Selection.
334,334,Christopher Meek,Male,Microsoft Research,Marina Meila,Female,University of Washington,Recursive Inversion Models for Permutations.
335,335,Stephan Mandt,Male,"University of California, Irvine",David Blei,Male,Columbia University,Smoothed Gradients for Stochastic Variational Inference.
336,336,Nick Foti,Male,Apple & University of Washington,Emily Fox,Female,"University of Washington, Apple",Stochastic variational inference for hidden Markov models.
337,337,Alexey Dosovitskiy,Male,University of Freiburg,Thomas Brox,Male,University of Freiburg,Discriminative Unsupervised Feature Learning with Convolutional Neural Networks.
338,338,Assaf Glazer,Male,Technion,Shaul Markovitch,Male,Technion,Approximating Hierarchical MV-sets for Hierarchical Clustering.
