,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
399,399,Lu Jiang,,Carnegie Mellon University,Alexander Hauptmann,Male,Carnegie Mellon University,Self-Paced Learning with Diversity.
400,400,Yichuan Zhang,Male,University of Edinburgh,Charles Sutton,Male,Google,Semi-Separable Hamiltonian Monte Carlo for Inference in Bayesian Hierarchical Models.
401,401,Christian Andersson Naesseth,Male,Linköping University,Thomas Schön,Male,Uppsala University,Sequential Monte Carlo for Graphical Models.
402,402,Yuanyuan Mi,Male,Weizmann Institute of Science,Si Wu,Female,Beijing Normal University,Spike Frequency Adaptation Implements Anticipative Tracking in Continuous Attractor Neural Networks.
403,403,Se-Young Yun,Male,Los Alamos National Lab,Alexandre Proutiere,Male,KTH,"Streaming, Memory Limited Algorithms for Community Detection."
404,404,Jingjing Zheng,Male,University of Maryland,Jonathon P Phillips,Male,National Institute of Standards and  Technology,Submodular Attribute Selection for Action Recognition in Video.
405,405,hengshuai yao,Male,University of Alberta,Shalabh Bhatnagar,Male,Indian Institute of Science,Universal Option Models.
406,406,Yichao Lu,Male,University of Pennsylvania,Dean P Foster,Male,University of Pennsylvania,large scale canonical correlation analysis with iterative least squares.
407,407,Luigi Acerbi,Male,University of Helsinki,Sethu Vijayakumar,Male,University of Edinburgh,A Framework for Testing Identifiability of Bayesian Models of Perception.
408,408,Jean-Baptiste Tristan,Male,Oracle Labs,Guy L Steele,Male,Oracle Labs,Augur: Data-Parallel Probabilistic Modeling.
409,409,Syama Sundar Rangapuram,Male,Saarland University,Matthias Hein,Male,University of Tübingen,Tight Continuous Relaxation of the Balanced k-Cut Problem.
410,410,Huahua Wang,,"University of Minnesota, Twin Cites",Arindam Banerjee,Male,"University of Minnesota, Twin Cities",Bregman Alternating Direction Method of Multipliers.
