,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
39,39,Abbas Abdolmaleki,Male,University of Porto,Gerhard Neumann,Male,University of Lincoln,Model-Based Relative Entropy Stochastic Search.
40,40,Ahmed Hefny,Male,Carnegie Mellon University,Geoffrey Gordon,Male,CMU,Supervised Learning for Dynamical System Learning.
41,41,Thibaut Lienart,Male,University of Oxford,Arnaud Doucet,Male,Oxford,Expectation Particle Belief Propagation.
42,42,Farzaneh Mirzazadeh,Male,University of Alberta,Dale Schuurmans,Male,Alberta,Embedding Inference for Structured Multilabel Prediction.
43,43,Jessa Bekker,Female,KU Leuven,Guy Van den Broeck,Male,UCLA,Tractable Learning for Complex Probability Queries.
44,44,Nihar Bhadresh Shah,Male,UC Berkeley,Denny Zhou,Male,MSR,Double or Nothing: Multiplicative Incentive Mechanisms for Crowdsourcing.
45,45,Michalis Titsias,Male,Athens University of Economics and Business,Miguel Lázaro-Gredilla,Male,Vicarious,Local Expectation Gradients for Black Box Variational Inference.
46,46,Charlie Frogner,Male,MIT,Tomaso Poggio,Male,MIT,Learning with a Wasserstein Loss.
47,47,Vivien Seguy,Male,Kyoto University,Marco Cuturi,Male,Kyoto University,Principal Geodesic Analysis for Probability Measures under the Optimal Transport Metric.
48,48,Lucas Maystre,Male,EPFL,Matt Grossglauser,Male,EPFL,Fast and Accurate Inference of Plackett–Luce Models.
49,49,Dominik Rothenhäusler,Male,ETH Zurich,Nicolai Meinshausen,Male,ETH Zurich,BACKSHIFT: Learning causal cyclic graphs from unknown shift interventions.
50,50,Jacob Steinhardt,Male,Stanford University,Percy Liang,Male,Stanford University,Learning with Relaxed Supervision.
51,51,Shuang Li,Male,Georgia Institute of Technology,Le Song,Male,Georgia Institute of Technology,M-Statistic for Kernel Change-Point Detection.
52,52,Kacper P Chwialkowski,Male,University College London,Arthur Gretton,Male,University Collage London,Fast Two-Sample Testing with Analytic Representations of Probability Measures.
53,53,Hong Wang,Male,University of Illinois at Chic,Brian Ziebart,Male,University of Illinois at Chicago,Adversarial Prediction Games for Multivariate Losses.
54,54,Michaël Perrot,Male,University of Saint-Etienne,Amaury Habrard,Male,University of Saint-Etienne,Regressive Virtual Metric Learning.
55,55,Mahito Sugiyama,Male,Osaka University,Karsten Borgwardt,Male,ETH Zurich,Halting in Random Walk Kernels.
56,56,Sergey Plis,Male,The Mind Research Network,Vince Calhoun,Male,MRN,Rate-Agnostic (Causal) Structure Learning.
57,57,Mark Herbster,Male,University College London,Shaona Ghosh,Male,University of Southhampton,Online Prediction at the Limit of Zero Temperature.
58,58,Tim Kopp,Male,University of Rochester,Henry Kautz,Male,University of Rochester,Lifted Symmetry Detection and Breaking for MAP Inference.
