,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
99,99,Gergely Neu,Male,INRIA,Gergely Neu,Male,INRIA,Explore no more: Improved high-probability regret bounds for non-stochastic bandits.
100,100,Tuo Zhao,Male,Johns Hopkins University       Princeton University,Han Liu,Male,Princeton University,A Nonconvex Optimization Framework for Low Rank Matrix Estimation.
101,101,Xia Qu,Male,Epic Systems,Prashant Doshi,Male,University of Georgia,"Individual Planning in Infinite-Horizon Multiagent Settings: Inference, Structure and Scalability."
102,102,Emily Denton,Male,New York University,Rob Fergus,Male,Facebook AI Research,Deep Generative Image Models using a ￼Laplacian Pyramid of Adversarial Networks.
103,103,Jimmy S. Ren,Male,SenseTime Group Limited,Wenxiu Sun,Male,SenseTime Group Limited,Shepard Convolutional Neural Networks.
104,104,Kihyuk Sohn,Male,University of Michigan,Xinchen Yan,Male,University of Michigan,Learning Structured Output Representation using Deep Conditional Generative Models.
105,105,Cesc C Park,Male,Seoul National University,Gunhee Kim,Male,Seoul National University,Expressing an Image Stream with a Sequence of Natural Sentences.
106,106,Fereshteh Sadeghi,Male,University of Washington,Ali Farhadi,Male,University of Washington,Visalogy: Answering Visual Analogy Questions.
107,107,Yan Huang,Female,"CRIPAC, CASIA",Liang Wang,Male,"NLPR, China",Bidirectional Recurrent Convolutional Networks for Multi-Frame Super-Resolution.
108,108,Qing Sun,Male,Virginia Tech,Dhruv Batra,Male,Virginia Tech,SubmodBoxes: Near-Optimal Search for a Set of Diverse Object Proposals.
109,109,Jiajun Wu,Male,MIT,Josh Tenenbaum,Male,MIT,Galileo: Perceiving Physical Object Properties by Integrating a Physics Engine with Deep Learning.
110,110,Carl Vondrick,Male,MIT,Antonio Torralba,Male,MIT,Learning visual biases from human imagination.
111,111,Xiang Zhang,Male,New York University,Yann LeCun,Male,New York University,Character-level Convolutional Networks for Text Classification.
112,112,Alireza Makhzani,Male,University of Toronto,Brendan J Frey,Male,U. Toronto,Winner-Take-All Autoencoders.
113,113,Song Han,Male,Stanford University,Bill Dally,Male,Stanford University,Learning both Weights and Connections for Efficient Neural Network.
114,114,Igor Mordatch,Male,University of Washington,Emanuel Todorov,Male,University of Washington,Interactive Control of Diverse Complex Characters with Neural Networks.
115,115,Jonathan Vacher,Male,Université Paris Dauphine,Gabriel Peyré,Male,"CNRS and Ceremade, Université Paris-Dauphine",Biologically Inspired Dynamic Textures for Probing Motion Perception.
116,116,Kevin Ellis,Male,MIT,Josh Tenenbaum,Male,MIT,Unsupervised Learning by Program Synthesis.
117,117,Ricardo Henao,Male,Duke University,Lawrence Carin,Male,Duke University,Deep Poisson Factor Modeling.
118,118,Piyush Rai,Male,Duke University,Lawrence Carin,Male,Duke University,Large-Scale Bayesian Multi-Label Learning via Topic-Based Label Embeddings .
