,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
219,219,Seunghoon Hong,Male,POSTECH,Bohyung Han,Male,POSTECH,Decoupled Deep Neural Network for Semi-supervised Semantic Segmentation.
220,220,Junhyuk Oh,Male,University of Michigan,Satinder Singh,Male,University of Michigan,Action-Conditional Video Prediction using Deep Networks in Atari Games.
221,221,Jacob Gardner,Male,Cornell University,John Cunningham,Male,University of Columbia,Bayesian Active Model Selection with an Application to Automated Audiometry.
222,222,Matthias Feurer,Male,University of Freiburg,Frank Hutter,Male,U Freiburg,Efficient and Robust Automated Machine Learning.
223,223,Peter Schulam,Male,Johns Hopkins University,Suchi Saria,Male,Johns Hopkins University,A Framework for Individualizing Predictions of Disease Trajectories by Exploiting Multi-Resolution Structure.
224,224,Oriol Vinyals,Male,Google,Navdeep Jaitly,Male,Google,Pointer Networks.
225,225,Cameron Po-Hsuan Chen,Male,Princeton,Peter J Ramadge,Male,Princeton,A Reduced-Dimension fMRI Shared Response Model.
226,226,Pascal Vincent,Male,U. Montreal,Xavier Bouthillier,Male,Universit de Montréal,Efficient Exact Gradient Update for training Deep Networks with Very Large Sparse Targets.
227,227,Peter Flach,Male,University of Bristol,Meelis Kull,Male,University of Bristol,Precision-Recall-Gain Curves: PR Analysis Done Right.
228,228,Yuval Harel,Male,Technion,Manfred Opper,Male,TU Berlin,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding.
229,229,Yann Dauphin,Male,Facebook AI Research,Yoshua Bengio,Male,U. Montreal,Equilibrated adaptive learning rates for non-convex optimization.
230,230,Kevin G Jamieson,Male,University of Wisconsin,Rob Nowak,Male,Wisconsin,"NEXT: A System for Real-World Development, Evaluation, and Application of Active Learning."
231,231,Dave Moore,Male,UC Berkeley,Stuart J Russell,Male,UC Berkeley,Gaussian Process Random Fields.
232,232,James Hensman,Male,Lancaster University,Zoubin Ghahramani,Male,University of Cambridge,MCMC for Variationally Sparse Gaussian Processes.
233,233,Trevor Campbell,Male,MIT,Jonathan How,Male,MIT,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics."
234,234,David I Inouye,Male,University of Texas at Austin,Inderjit Dhillon,Male,University of Texas at Austin,Fixed-Length Poisson MRF: Adding Dependencies to the Multinomial.
235,235,Kwang-Sung Jun,Male,University of Wisconsin-Madison,Ming Yuan,Male,University of Wisconsin - Madison,Human Memory Search as Initial-Visit Emitting Random Walk.
236,236,Vikas Sindhwani,Male,Google,Sanjiv Kumar,Male,Google,Structured Transforms for Small-Footprint Deep Learning.
237,237,Chicheng Zhang,Male,UC San Diego,Kevin Chen,Male,Rutgers,Spectral Learning of Large Structured HMMs for Comparative Epigenomics.
238,238,Pinar Yanardag,Male,Purdue University,S.V.N. Vishwanathan,Male,UCSC,A Structural Smoothing Framework For Robust Graph Comparison.
