,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
239,239,Ted Meeds,Male,U. Amsterdam,Max Welling,Male,University of Amsterdam,Optimization Monte Carlo: Efficient and Embarrassingly Parallel Likelihood-Free Inference.
240,240,Quoc Phong Nguyen,Male,National University of Singapore,Patrick Jaillet,Male,Massachusetts Institute of Technology,Inverse Reinforcement Learning with Locally Consistent Reward Functions.
241,241,Oluwasanmi Koyejo,Male,Stanford University,Inderjit Dhillon,Male,University of Texas at Austin,Consistent Multilabel Classification.
242,242,Ariel Procaccia,Male,Carnegie Mellon University,Nisarg Shah,Male,Carnegie Mellon University,Is Approval Voting Optimal Given Approval Votes?.
243,243,Cengiz Pehlevan,Male,Simons Foundation,Dmitri Chklovskii,Male,Simons Foundation,A Normative Theory of Adaptive Dimensionality Reduction in Neural Networks.
244,244,Mohammad Norouzi,Male,University of Toronto,Pushmeet Kohli,Male,Microsoft Research,Efficient Non-greedy Optimization of Decision Trees.
245,245,Roland Kwitt,Male,University of Salzburg,Ulrich Bauer,Male,TU Munich,Statistical Topological Data Analysis - A Kernel Perspective.
246,246,Maxim Rabinovich,Male,UC Berkeley,Michael Jordan,Male,UC Berkeley,Variational Consensus Monte Carlo.
247,247,Mathew Monfort,Male,University of Illinois at Chicago,Josh Tenenbaum,Male,MIT,Softstar: Heuristic-Guided Probabilistic Inference.
248,248,Heiko Strathmann,Male,University College London,Arthur Gretton,Male,University Collage London,Gradient-free Hamiltonian Monte Carlo with Efficient Kernel Exponential Families.
249,249,Yi-An Ma,Male,University of Washington,Emily Fox,Female,Washington,A Complete Recipe for Stochastic Gradient MCMC.
250,250,Rahul G Krishnan,Male,New York University,David Sontag,Male,NYU,Barrier Frank-Wolfe for Marginal Inference.
251,251,Alexandr Andoni,Male,Columbia,Ludwig Schmidt,Male,MIT,Practical and Optimal LSH for Angular Distance.
252,252,Jonas Mueller,Male,MIT,Tommi Jaakkola,Male,MIT,Principal Differences Analysis: Interpretable Characterization of Differences between Distributions.
253,253,Emtiyaz Khan,Male,EPFL,Pascal Fua,Male,"EPFL, Switzerland",Kullback-Leibler Proximal Variational Inference.
254,254,Gunwoong Park,Male,"UW, Madison",Garvesh Raskutti,Male,"University of Wisconsin, Madison",Learning Large-Scale Poisson DAG Models based on OverDispersion Scoring.
255,255,Dan Alistarh,Male,Microsoft Research,Milan Vojnovic,Male,Microsoft Research,Streaming Min-max Hypergraph Partitioning.
256,256,Pratik Kumar Jawanpuria,Male,Saarlanduniversity,Bernt Schiele,Male,Max Planck Institute for Informatics,Efficient Output Kernel Learning for Multiple Tasks.
257,257,John Schulman,Male,UC Berkeley / Google,Pieter Abbeel,Male,UC Berkeley,Gradient Estimation Using Stochastic Computation Graphs.
258,258,Happy Mittal,Male,IIT Delhi,Parag Singla,Male,Indian Institute of Technology Delhi,Lifted Inference Rules With Constraints.
