,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
339,339,Anna Choromanska,Female,"Courant Institute, NYU",John Langford,Male,Microsoft Research New York,Logarithmic Time Online Multiclass prediction.
340,340,Akshay Balsubramani,Male,Ucsd,Yoav Freund,Male,UC San Diego,Scalable Semi-Supervised Aggregation of Classifiers.
341,341,David B Smith,Male,University of Texas at Dallas,Vibhav Gogate,Male,UT Dallas,Bounding the Cost of Search-Based Lifted Inference.
342,342,Joe Wang,Male,Boston University,Venkatesh Saligrama,Male,Boston University,Efficient Learning by Directed Acyclic Graph For Resource Constrained Prediction.
343,343,Wenye Li,Male,Macao Polytechnic Institute,Wenye Li,Male,Macao Polytechnic Institute,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach.
344,344,Yunpeng Pan,Male,Georgia Institute of Technolog,Michail   Kontitsis,Male,Georgia Institute of Technology,Sample Efficient Path Integral Control under Uncertainty.
345,345,Jaya Kawale,Female,Adobe Research,Sanjay Chawla,Male,"Qatar Computing Research Institute,  HBKU  and University of Sydney",Efficient Thompson Sampling for Online ￼Matrix-Factorization Recommendation.
346,346,Xiangyu Wang,Male,Duke University,David B Dunson,Male,Duke University,Parallelizing MCMC with Random Partition Trees.
347,347,Somdeb Sarkhel,Male,University of Texas at Dallas,Vibhav Gogate,Male,UT Dallas,Fast Lifted MAP Inference via Partitioning.
348,348,Chicheng Zhang,Male,UC San Diego,Kamalika Chaudhuri,Female,UCSD,Active Learning from Weak and Strong Labelers.
349,349,Yining Wang,Male,Carnegie Mellon University,Anima Anandkumar,Female,UC Irvine,Fast and Guaranteed Tensor Decomposition via Sketching.
350,350,Jeffrey Pennington,Male,Google,Sanjiv Kumar,Male,Google,Spherical Random Features for Polynomial Kernels.
351,351,Harikrishna Narasimhan,Male,Harvard University,Yaron Singer,Male,Harvard University,Learnability of Influence in Networks.
352,352,James R Voss,Male,,Luis Rademacher,Male,The Ohio State University,A Pseudo-Euclidean Iteration for Optimal Recovery in Noisy ICA.
353,353,Yining Wang,Male,Carnegie Mellon University,Aarti Singh,Male,CMU,Differentially private subspace clustering.
354,354,Dinesh Ramasamy,Male,Amazon Lab126,Upamanyu Madhow,Male,UC Santa Barbara,Compressive spectral embedding: sidestepping the SVD.
355,355,Cynthia Dwork,Female,Microsoft Research,Aaron Roth,Male,University of Pennsylvania,Generalization in Adaptive Data Analysis and Holdout Reuse.
356,356,Róbert Busa-Fekete,Male,UPB,Eyke Hüllermeier,Male,Marburguniversity,Online F-Measure Optimization.
357,357,Kai-Yang Chiang,Male,UT Austin,Inderjit Dhillon,Male,University of Texas at Austin,Matrix Completion with Noisy Side Information.
358,358,Bo Waggoner,Male,Harvard,Jacob D Abernethy,Male,University of Michigan,A Market Framework for Eliciting Private Data.
,,,,,,,,
