,Unnamed: 0,first-author,,first-author-affiliation,last-author,,last-author-affiliation,title
359,359,Yen-Chi Chen,Male,Carnegie Mellon University,Larry Wasserman,Male,Carnegie Mellon University,Optimal Ridge Detection using Coverage Risk.
360,360,Gustavo Malkomes,Male,Washington University in St. Louis,Benjamin Moseley,Male,Washington University in St Lo,Fast Distributed k-Center Clustering with Outliers on Massive Data.
361,361,Megasthenis Asteris,Male,University of Texas at Austin,Alex Dimakis,Male,"University of Texas, Austin",Orthogonal NMF through Subspace Exploration.
362,362,Tianyang Li,Male,UT Austin,Pradeep Ravikumar,Male,University of Texas at Austin,Fast Classification Rates for High-dimensional Gaussian Generative Models.
363,363,T.-K. Huang,Male,Microsoft,Robert Schapire,Male,MIcrosoft Research,Efficient and Parsimonious Agnostic Active Learning.
364,364,Nikhil Rao,Male,University of Texas at Austin,Inderjit Dhillon,Male,University of Texas at Austin,Collaborative Filtering with Graph Information: Consistency and Scalable Methods.
365,365,Alessandro Rudi,Male,University of Genova,Lorenzo Rosasco,Male,University of Genova,Less is More: Nyström Computational Regularization.
366,366,Prateek Jain,Male,Microsoft Research,Ambuj Tewari,Male,University of Michigan,Predtron: A Family of Online Algorithms for General Prediction Problems.
367,367,Weiwei Liu,Female,UTS,Ivor Tsang,Male,"University of Technology, Sydney",On the Optimality of Classifier Chain for Multi-label Classification.
368,368,Bryan He,Male,Stanford University,Yisong Yue,Male,Caltech,Smooth Interactive Submodular Set Cover.
369,369,Janne H Korhonen,Male,University of Helsinki,Pekka Parviainen,Male,Aalto University,Tractable Bayesian Network Structure Learning with Bounded Vertex Cover Number.
370,370,Peter Kairouz,Male,UIUC,Pramod Viswanath,Male,UIUC,Secure Multi-party Differential Privacy.
371,371,Zhan Wei Lim,Male,NUS,Wee Sun Lee,Male,National University of Singapore,Adaptive Stochastic Optimization: From Sets to Paths.
372,372,Siqi Sun,Male,TTIC,Jinbo Xu,Male,Toyota Technological Institute at Chicago,Learning structured densities via infinite dimensional exponential families.
373,373,Anastasia Pentina,Female,IST Austria,Christoph Lampert,Male,IST Austria,Lifelong Learning with Non-i.i.d. Tasks.
374,374,Brendan van Rooyen,Male,NICTA,Robert Williamson,Male,NICTA,Learning with Symmetric Label Noise: The Importance of Being Unhinged.
375,375,Huasen Wu,Male,University of California at Davis,Chong Jiang,Male,University of Illinois at Urbana-Champaign,Algorithms with Logarithmic or Sublinear Regret for  Constrained Contextual Bandits.
376,376,Tatsunori Hashimoto,Male,MIT CSAIL,Tommi Jaakkola,Male,MIT,From random walks to distances on unweighted graphs.
377,377,Kush Bhatia,Male,Microsoft Research,Puru Kar,Male,Indian Institute of Technology Kanpur,Robust Regression via Hard Thresholding.
378,378,Saurabh Paul,Male,Paypal Inc,Petros Drineas,Male,Rensselaer Polytechnic Institute,Column Selection via Adaptive Sampling.
