,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
0,0,Zhe Li,Male,The University of Iowa,Tianbao Yang,Male,University of Iowa,Improved Dropout for Shallow and Deep Learning.
1,1,Jiecao Chen,Male,Indiana University Bloomington,Qin Zhang,Male,Indiana University Bloomington,Communication-Optimal Distributed Clustering.
2,2,Bowei Yan,Male,University of Texas at Austin,Purnamrita Sarkar,Female,U.C. Berkeley,On Robustness of Kernel Clustering.
3,3,Rémy Degenne,Male,Université Paris Diderot,Vianney Perchet,Male,Ensae - Criteo Labs,Combinatorial semi-bandit with known covariance.
4,4,Nicolò Colombo,Male,University College London,Nikos Vlassis,Male,Adobe Research,A posteriori error bounds for joint matrix decomposition problems.
5,5,Mandar D Dixit,Male,UC San Diego,Nuno Vasconcelos,Male,UC San Diego,Object based Scene Representations using Fisher Scores of Local Subspace Projections.
6,6,Gregory Rogez,Male,Inria,Cordelia Schmid,Female,Inria / Google,MoCap-guided Data Augmentation for 3D Pose Estimation in the Wild.
7,7,Subhashini Krishnasamy,Male,The University of Texas at Austin,Sanjay Shakkottai,Male,The University of Texas at Aus,Regret of Queueing Bandits.
8,8,Shashank Singh,Male,Carnegie Mellon University,Barnabas Poczos,Male,Carnegie Mellon University,Efficient Nonparametric Smoothness Estimation.
9,9,Tue Herlau,Male,Technical University of Denmark,Morten Mørup,Male,Technical University of Denmark,Completely random measures for modelling block-structured sparse networks.
10,10,Diane Bouchacourt,Male,University of Oxford,Sebastian Nowozin,Male,Microsoft Research,DISCO Nets : DISsimilarity COefficients Networks.
11,11,Philip Bachman,Male,Microsoft Research,Philip Bachman,Male,Microsoft Research,"An Architecture for Deep, Hierarchical Generative Models."
12,12,Albert Berahas,Male,Northwestern University,Martin Takac,Male,Lehigh University,A Multi-Batch L-BFGS Method for Machine Learning.
13,13,Mathieu Blondel,Male,NTT,Masakazu Ishihata,Male,Hokkaido University,Higher-Order Factorization Machines.
14,14,Anh Tuan Nguyen,Male,University of Minnesota,Zhi Yang,Male,University of Minnesota,A Bio-inspired Redundant Sensing Architecture.
15,15,Lev Bogolubsky,Male,"Yandex, Moscow State University",Maksim Zhukovskii,Male,Moscow Institute of Physics and Technology,Learning Supervised PageRank with Gradient-Based and Gradient-Free Optimization Methods.
16,16,Aditya Bhaskara,Male,University of Utah,Ola Svensson,Male,EPFL,Linear Relaxations for Finding Diverse Elements in Metric Spaces.
17,17,Aude Genevay,Female,Université Paris Dauphine,Francis Bach,Male,INRIA - Ecole Normale Superieure,Stochastic Optimization for Large-scale Optimal Transport.
18,18,Jacob D Abernethy,Male,University of Michigan,Ruihao Zhu,Male,MIT,"Threshold Bandits, With and Without Censored Feedback."
19,19,Mark Herbster,Male,University College London,Massimiliano Pontil,Male,IIT & UCL,Mistake Bounds for Binary Matrix Completion.
20,20,Yusuf Aytar,Male,MIT,Antonio Torralba,Male,MIT,SoundNet: Learning Sound Representations from Unlabeled Video.
21,21,Shuangfei Zhai,Male,Binghamton University,Zhongfei (Mark) Zhang,Male,Binghamton University,Doubly Convolutional Neural Networks.
22,22,Christopher W Lynn,Male,University of Pennsylvania,Daniel Lee,Male,University of Pennsylvania,Maximizing Influence in an Ising Network: A Mean-Field Optimal Solution.
23,23,Shahin Jabbari,Male,University of Pennsylvania,Steven Wu,Male,University of Pennsylvania,Learning from Rational Behavior: Predicting Solutions to Unknown Linear Programs.
24,24,Matthew Joseph,Male,University of Pennsylvania,Aaron Roth,Male,University of Pennsylvania,Fairness in Learning: Classic and Contextual Bandits.
25,25,Kun He,Male,Huazhong University of Science and Technology,John Hopcroft,Male,Cornell University,A Powerful Generative Model Using Random Weights for the Deep Image Representation.
26,26,Samir Chowdhury,Male,The Ohio State University,Zane T Smith,Male,Ohio State University,Improved Error Bounds for Tree Representations of Metric Spaces.
27,27,Ji Hyun Bak,Male,Princeton University,Jonathan Pillow,Male,Princeton University,Adaptive optimal training of animal behavior.
28,28,Pascal Germain,Male,Laval University,Simon Lacoste-Julien,Male,INRIA,PAC-Bayesian Theory Meets Bayesian Inference.
29,29,James McQueen,Male,University of Washington,Dominique Perrault-Joncas,Male,Google,Nearly Isometric Embedding by Relaxation.
30,30,Yali Wan,Male,University of Washington,Marina Meila,Female,University of Washington,Graph Clustering: Block-models and model free results.
31,31,Ozan Sener,Male,Cornell University,Silvio Savarese,Male,Stanford University,Learning Transferrable Representations for Unsupervised Domain Adaptation.
32,32,Osbert Bastani,Male,Stanford University,Antonio Criminisi,Male,Microsoft Research,Measuring Neural Net Robustness with Constraints.
33,33,Ivan Herreros,Male,Universitat Pompeu Fabra,Paul Verschure,Male,ICREA - Universitat Pompeu Fabra,A forward model at Purkinje cell synapses facilitates cerebellar anticipatory control.
34,34,Cristina Savin,Female,IST Austria,Gasper Tkacik,Male,Institute of Science and Technology Austria,Estimating Nonlinear Neural Response Functions using GP Priors and Kronecker Methods.
35,35,Mingbo Cai,Male,Princeton University,Yael Niv,Male,Princeton University,A Bayesian method for reducing bias in neural representational similarity analysis.
36,36,Jakob Foerster,Male,University of Oxford,Shimon Whiteson,Male,University of Oxford,Learning to Communicate with Deep Multi-Agent Reinforcement Learning.
37,37,Veeru Sadhanala,Male,Carnegie Mellon University,Ryan Tibshirani,Male,Carnegie Mellon University,"Total Variation Classes Beyond 1d: Minimax Rates, and the Limitations of Linear Smoothers."
38,38,Maja Rudolph,Female,Columbia University,David Blei,Male,Columbia University,Exponential Family Embeddings.
39,39,Oren Anava,Male,Technion,Kfir Y. Levy,Male,Technion,k*-Nearest Neighbors: From Global to Local.
40,40,Mohammad Norouzi,Male,Google Brain,Dale Schuurmans,Male,Google Brain & University of Alberta,Reward Augmented Maximum Likelihood for Neural Structured Prediction.
41,41,Koosha Khalvati,Male,University of Washington,Rajesh PN Rao,Male,University of Washington,A Probabilistic Model of Social Decision Making based on Reward Maximization.
42,42,T.K. Huang,Male,Uber Advanced Technologies Center,Jerry Zhu,Male,University of Wisconsin-Madison,Active Learning with Oracle Epiphany.
43,43,Richard Nock,Male,Data61 and ANU,Richard Nock,Male,Data61 and ANU,On Regularizing Rademacher Observation Losses.
44,44,Elad Hazan,Male,Princeton University,Tengyu Ma,Male,Princeton University,A Non-generative Framework and Convex Relaxations for Unsupervised Learning.
45,45,Vikas Garg,Male,MIT,Tommi Jaakkola,Male,MIT,Learning Tree Structured Potential Games.
46,46,Moritz Hardt,Male,Google Brain,Nati Srebro,Male,TTI-Chicago,Equality of Opportunity in Supervised Learning.
47,47,Peter Battaglia,Male,Google DeepMind,koray kavukcuoglu,Male,Google DeepMind,"Interaction Networks for Learning about Objects, Relations and Physics."
48,48,Valentina Zantedeschi,Female,UJM Saint-Etienne,Marc Sebban,Male,University Jean Monnet,beta-risk: a New Surrogate Risk for Learning from Weakly Labeled Data.
49,49,Itay Hubara,Male,Technion,Yoshua Bengio,Male,Université de Montréal,Binarized Neural Networks.
50,50,Mehdi Sajjadi,Male,University of Utah,Tolga Tasdizen,Male,University of Utah,Regularization With Stochastic Transformations and Perturbations for Deep Semi-Supervised Learning.
51,51,Alexey Dosovitskiy,Male,University of Freiburg,Thomas Brox,Male,University of Freiburg,Generating Images with Perceptual Similarity Metrics based on Deep Networks.
52,52,Amin Jalali,Male,University of Washington,Maryam Fazel,Male,University of Washington,Exploiting Tradeoffs for Exact Recovery in Heterogeneous Stochastic Block Models.
53,53,Kenyon Tsai,Male,Harvard University,David Cox,Male,"MIT-IBM Watson AI Lab, IBM Research",Tensor Switching Networks.
54,54,Juho Lee,Male,POSTECH,Seungjin Choi,Male,POSTECH,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models.
55,55,Hsiang-Fu (Rofu) Yu,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Temporal Regularized Matrix Factorization for High-dimensional Time Series Prediction.
56,56,Matthew Johnson,Male,MIT,Sandeep R Datta,Male,Harvard Medical School,Composing graphical models with neural networks for structured representations and fast inference.
57,57,Akshay Krishnamurthy,Male,UMass Amherst,John Langford,Male,Microsoft Research New York,PAC Reinforcement Learning with Rich Observations.
58,58,Andrej Risteski,Male,Princeton University,Yuanzhi Li,Male,Princeton University,Algorithms and matching lower bounds for approximately-convex optimization.
59,59,Sashank J. Reddi,Male,Carnegie Mellon University,Alex Smola,Male,Amazon - We are hiring!,Proximal Stochastic Methods for Nonsmooth Nonconvex Finite-Sum Optimization.
60,60,Aaron Defazio,Male,Ambiata,Aaron Defazio,Male,Ambiata,A Simple Practical Accelerated Method for Finite Sums.
61,61,Chelsea Finn,Female,Google,Sergey Levine,Male,University of Washington,Unsupervised Learning for Physical Interaction through Video Prediction.
62,62,Nathan F Lepora,Male,University of Bristol,Nathan F Lepora,Male,University of Bristol,Threshold Learning for Optimal Decision Making.
63,63,Hao Wang,Male,HKUST,Dit-Yan Yeung,Male,Hong Kong University of Science and Technology,Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in the Blanks.
64,64,Laetitia Papaxanthos,Female,ETH Zurich,Karsten Borgwardt,Male,ETH Zurich,Finding significant combinations of features in the presence of categorical covariates.
65,65,Anh Nguyen,Female,University of Wyoming,Jeff Clune,Male,University of Wyoming,Synthesizing the preferred inputs for neurons in neural networks via deep generator networks.
66,66,Wei Ping,Male,UC Irvine,Alexander Ihler,Male,UC Irvine,Learning Infinite RBMs with Frank-Wolfe.
67,67,Edouard Pauwels,Male,IRIT,Jean Lasserre,Male,LAAS-CNRS,Sorting out typicality with the inverse moment matrix SOS polynomial.
68,68,Jason Pazis,Male,MIT,Jonathan How,Male,MIT,Improving PAC Exploration Using the Median Of Means.
69,69,Andrey Lokhov,Male,Los Alamos National Laboratory,Andrey Lokhov,Male,Los Alamos National Laboratory,Reconstructing Parameters of Spreading Models from Partial Observations.
70,70,Xu Jia,Male,KU Leuven,Luc V Gool,Male,ETH Zürich,Dynamic Filter Networks.
71,71,Stephan Zheng,Male,Caltech,Patrick Lucey,Male,Stats,Generating Long-term Trajectories Using Deep Hierarchical Networks.
72,72,Dylan Hadfield-Menell,Male,UC Berkeley,Anca Dragan,Male,UC Berkeley,Cooperative Inverse Reinforcement Learning.
73,73,Zhilin Yang,Male,Carnegie Mellon University,Russ Salakhutdinov,Male,University of Toronto,Review Networks for Caption Generation.
74,74,Rong Zhu,Male,Chinese Academy of Sciences,Rong Zhu,Male,Chinese Academy of Sciences,Gradient-based Sampling: An Adaptive Importance Sampling for Least-squares.
75,75,ALEX GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,ALEX GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,Robust k-means: a Theoretical Revisit.
76,76,Corinna Cortes,Female,Google Research,Mehryar Mohri,Male,Google Research & Courant Institute of Mathematical Sciences,Boosting with Abstention.
77,77,Shantanu Jain,Male,Indiana University,Pedja Radivojac,Male,Indiana University,Estimating the class prior and posterior from noisy positives and unlabeled data.
