,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2012,Anna Choromanska,"New York University, Courant Institute of Mathematical Sciences",Claire Monteleoni,"University of Colorado Boulder, CO, USA",ICML On-line Trading of Exploration and Exploitation,Online Clustering with Experts.,2,http://proceedings.mlr.press/v26/choromanska12a.html,https://dblp.org/rec/journals/jmlr/ChoromanskaM12a
1,2012,Dorota Glowacka,nan,John Shawe-Taylor,"University College, London, UK",ICML On-line Trading of Exploration and Exploitation,Preface.,3,http://proceedings.mlr.press/v26/glowacka12a/glowacka12a.pdf,https://dblp.org/rec/journals/jmlr/GlowackaDS12
2,2012,Lihong Li 0001,Google,Xuanhui Wang,nan,ICML On-line Trading of Exploration and Exploitation,Bandits with Generalized Linear Models.,5,http://proceedings.mlr.press/v26/li12a.html,https://dblp.org/rec/journals/jmlr/LiCLMW12
3,2012,Chris Lovell,nan,Steve R. Gunn,"University of Southampton, UK",ICML On-line Trading of Exploration and Exploitation,Exploration and Exploitation with Insufficient Resources.,4,http://proceedings.mlr.press/v26/lovell12a.html,https://dblp.org/rec/journals/jmlr/LovellJZG12
4,2012,Olivier Nicol,nan,Philippe Preux,nan,ICML On-line Trading of Exploration and Exploitation,ICML Exploration & Exploitation Challenge - Keep it simple!,3,http://proceedings.mlr.press/v26/nicol12a.html,https://dblp.org/rec/journals/jmlr/NicolMP12
5,2012,Christophe Salperwyck,nan,Tanguy Urvoy,nan,ICML On-line Trading of Exploration and Exploitation,Stumping along a Summary for Exploration & Exploitation Challenge 2011.,2,http://proceedings.mlr.press/v26/salperwyck12a.html,https://dblp.org/rec/journals/jmlr/SalperwyckU12
6,2012,Yevgeny Seldin,nan,John Shawe-Taylor,"University College, London, UK",ICML On-line Trading of Exploration and Exploitation,PAC-Bayes-Bernstein Inequality for Martingales and its Application to Multiarmed Bandits.,5,http://proceedings.mlr.press/v26/seldin12a.html,https://dblp.org/rec/journals/jmlr/SeldinCALS12
7,2012,Dorota Glowacka,nan,John Shawe-Taylor,"University College, London, UK",ICML On-line Trading of Exploration and Exploitation,"Proceedings of the Workshop on On-line Trading of Exploration and Exploitation 2, Bellevue, Washington, USA, July 2, 2011",3,http://proceedings.mlr.press/v26/,https://dblp.org/rec/conf/icml/2011otee
8,2012,Ayan Acharya,nan,Sreangsu Acharyya,nan,ICML Unsupervised and Transfer Learning,Transfer Learning with Cluster Ensembles.,4,http://proceedings.mlr.press/v27/acharya12a.html,https://dblp.org/rec/journals/jmlr/AcharyaHGA12
9,2012,Fabio Aiolli,nan,Fabio Aiolli,nan,ICML Unsupervised and Transfer Learning,Transfer Learning by Kernel Meta-Learning.,1,http://proceedings.mlr.press/v27/aiolli12a.html,https://dblp.org/rec/journals/jmlr/Aiolli12
