,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2017,Silvio Amir,nan,Byron C. Wallace,"Northeastern University, USA",MLHC,Quantifying Mental Health from Social Media with Neural User Embeddings.,5,http://proceedings.mlr.press/v68/amir17a.html,https://dblp.org/rec/conf/mlhc/AmirCCSW17
1,2017,Yujia Bao,nan,Rebecca Willett,"Duke University, Durham, USA",MLHC,Hawkes Process Modeling of Adverse Drug Reactions with Longitudinal Observational Data.,5,http://proceedings.mlr.press/v68/bao17a.html,https://dblp.org/rec/conf/mlhc/BaoKPPW17
2,2017,Savannah L. Bergquist,nan,Sherri Rose,nan,MLHC,Classifying Lung Cancer Severity with Ensemble Machine Learning in Health Care Claims Data.,5,http://proceedings.mlr.press/v68/bergquist17a.html,https://dblp.org/rec/conf/mlhc/BergquistBKLR17
3,2017,Edward Choi,nan,Jimeng Sun,nan,MLHC,Generating Multi-label Discrete Patient Records using Generative Adversarial Networks.,6,http://proceedings.mlr.press/v68/choi17a.html,https://dblp.org/rec/conf/mlhc/ChoiBMDSS17
4,2017,Bryan Conroy,nan,Asif Rahman,nan,MLHC,Patient Similarity Using Population Statistics and Multiple Kernel Learning.,3,http://proceedings.mlr.press/v68/conroy17a.html,https://dblp.org/rec/conf/mlhc/ConroyXR17
5,2017,Amirreza Farnoosh,nan,Mehrdad Nourani,"University of Texas at Dallas, USA",MLHC,Spatially-Continuous Plantar Pressure Reconstruction Using Compressive Sensing.,3,http://proceedings.mlr.press/v68/farnoosh17a.html,https://dblp.org/rec/conf/mlhc/FarnooshON17
6,2017,Samuele Fiorini,nan,Giampaolo Brichetto,nan,MLHC,Temporal prediction of multiple sclerosis evolution from patient-centered outcomes.,5,http://proceedings.mlr.press/v68/fiorini17a.html,https://dblp.org/rec/conf/mlhc/FioriniVBTB17
7,2017,Madalina Fiterau,nan,Scott L. Delp,nan,MLHC,ShortFuse - Biomedical Time Series Representations in the Presence of Structured Information.,8,http://proceedings.mlr.press/v68/fiterau17a.html,https://dblp.org/rec/conf/mlhc/FiterauBFBHHRD17
8,2017,Jose Castela Forte,nan,Anne H. Epema,nan,MLHC,Predicting long-term mortality with first week post-operative data after Coronary Artery Bypass Grafting using Machine Learning models.,5,http://proceedings.mlr.press/v68/forte17a.html,https://dblp.org/rec/conf/mlhc/ForteWBGE17
9,2017,Joseph Futoma 0001,"Duke University, Department of Statistical Science, Durham, NC, USA",Cara O'Brien,nan,MLHC,An Improved Multi-Output Gaussian Process RNN with Real-Time Validation for Early Sepsis Detection.,8,http://proceedings.mlr.press/v68/futoma17a.html,https://dblp.org/rec/conf/mlhc/FutomaHHSBCBO17
10,2017,Albert Haque,nan,Li Fei-Fei 0001,李飛飛,MLHC,Towards Vision-Based Smart Hospitals - A System for Tracking and Monitoring Hand Hygiene Compliance.,13,http://proceedings.mlr.press/v68/haque17a.html,https://dblp.org/rec/conf/mlhc/HaqueGAYLRJDBSP17
