,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2019,Umar Asif,nan,Stefan Harrer,nan,ML4H@NeurIPS,Privacy Preserving Human Fall Detection using Video Data.,7,http://proceedings.mlr.press/v116/asif20a.html,https://dblp.org/rec/conf/nips/AsifMCYRTH19
1,2019,Aparna Balagopalan,nan,Marzyeh Ghassemi,nan,ML4H@NeurIPS,Cross-Language Aphasia Detection using Optimal Transport Domain Adaptation.,6,http://proceedings.mlr.press/v116/balagopalan20a.html,https://dblp.org/rec/conf/nips/BalagopalanNMNN19
2,2019,William Boag,nan,Peter Szolovits,nan,ML4H@NeurIPS,Baselines for Chest X-Ray Report Generation.,6,http://proceedings.mlr.press/v116/boag20a.html,https://dblp.org/rec/conf/nips/BoagHMBAS19
3,2019,Adrian V. Dalca,nan,Brett K. Beaulieu-Jones,nan,ML4H@NeurIPS,Machine Learning for Health ( ML4H ) 2019 - What Makes Machine Learning in Medicine Different?,10,http://proceedings.mlr.press/v116/dalca20a.html,https://dblp.org/rec/conf/nips/DalcaMAFOFCBNB19
4,2019,Amirata Ghorbani,nan,Yuan Liu,nan,ML4H@NeurIPS,DermGAN - Synthetic Generation of Clinical Skin Images with Pathology.,4,http://proceedings.mlr.press/v116/ghorbani20a.html,https://dblp.org/rec/conf/nips/GhorbaniNCL19
5,2019,Cyprien Gilet,nan,Lionel Fillatre,nan,ML4H@NeurIPS,Minimax Classifier with Box Constraint on the Priors.,3,http://proceedings.mlr.press/v116/gilet20a.html,https://dblp.org/rec/conf/nips/GiletBF19
6,2019,Paul F. Jaeger,nan,Klaus H. Maier-Hein,"German Cancer Research Center, Heidelberg, Germany",ML4H@NeurIPS,Retina U-Net - Embarrassingly Simple Exploitation of Segmentation Supervision for Medical Object Detection.,7,http://proceedings.mlr.press/v116/jaeger20a.html,https://dblp.org/rec/conf/nips/JaegerKBIKSM19
7,2019,Arnav Kapur,nan,Pattie Maes,"MIT, Cambridge, USA",ML4H@NeurIPS,Non-Invasive Silent Speech Recognition in Multiple Sclerosis with Dysphonia.,6,http://proceedings.mlr.press/v116/kapur20a.html,https://dblp.org/rec/conf/nips/KapurSWWHM19
8,2019,Yogesh Kumar,nan,Pekka Marttinen,nan,ML4H@NeurIPS,Predicting utilization of healthcare services from individual disease trajectories using RNNs with multi-headed attention.,6,http://proceedings.mlr.press/v116/kumar20a.html,https://dblp.org/rec/conf/nips/KumarSNVKM19
9,2019,Sheng Liu,nan,Narges Razavian,nan,ML4H@NeurIPS,On the design of convolutional neural networks for automatic detection of Alzheimer's disease.,4,http://proceedings.mlr.press/v116/liu20a.html,https://dblp.org/rec/conf/nips/LiuYFR19
10,2019,Nikhil Pattisapu,nan,Vasudeva Varma,nan,ML4H@NeurIPS,Medical Concept Normalization by Encoding Target Knowledge.,4,http://proceedings.mlr.press/v116/pattisapu20a.html,https://dblp.org/rec/conf/nips/PattisapuPPV19
11,2019,Deepta Rajan,nan,Ehsan Dehghan,nan,ML4H@NeurIPS,Pi-PE - A Pipeline for Pulmonary Embolism Detection using Sparsely Annotated 3D CT Images.,4,http://proceedings.mlr.press/v116/rajan20a.html,https://dblp.org/rec/conf/nips/RajanBAD19
12,2019,Eyal Rozenberg,nan,Alex M. Bronstein,"Technion - Israel Institute of Technology, Department of Computer Science",ML4H@NeurIPS,Localization with Limited Annotation for Chest X-rays.,3,http://proceedings.mlr.press/v116/rozenberg20a.html,https://dblp.org/rec/conf/nips/RozenbergFB19
13,2019,Oleksii Sidorov,nan,Faouzi Alaya Cheikh,"Tampere University of Technology, Finland",ML4H@NeurIPS,Generative Smoke Removal.,3,http://proceedings.mlr.press/v116/sidorov20a.html,https://dblp.org/rec/conf/nips/SidorovWC19
