,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2012,Georg Langs,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, USA",Brian Murphy,nan,MLINI,"Machine Learning and Interpretation in Neuroimaging - International Workshop, MLINI 2011, Held at NIPS 2011, Sierra Nevada, Spain, December 16-17, 2011, Revised Selected and Invited Contributions",4,https://doi.org/10.1007/978-3-642-34713-9,https://dblp.org/rec/conf/nips/2011mlini
1,2011,Trine Julie Abrahamsen,"Technical University of Denmark, Lyngby, Denmark",Lars Kai Hansen,"Technical University of Denmark, Department of Applied Mathematics and Computer Science",MLINI,Restoring the Generalizability of SVM Based Decoding in High Dimensional Neuroimage Data.,2,https://doi.org/10.1007/978-3-642-34713-9_32,https://dblp.org/rec/conf/nips/AbrahamsenH11
2,2011,Kasper Winther Andersen,nan,Morten Mørup,nan,MLINI,Identification of Functional Clusters in the Striatum Using Infinite Relational Modeling.,5,https://doi.org/10.1007/978-3-642-34713-9_29,https://dblp.org/rec/conf/nips/AndersenMSHM11
3,2011,Ariana E. Anderson,"University of California, Los Angeles, Department of Psychiatry and Biobehavioral Sciences, USA",Mark S. Cohen,nan,MLINI,Real-Time Functional MRI Classification of Brain States Using Markov-SVM Hybrid Models - Peering Inside the rt-fMRI Black Box.,5,https://doi.org/10.1007/978-3-642-34713-9_31,https://dblp.org/rec/conf/nips/AndersonHDBC11
4,2011,Ali Bahramisharif,nan,Tom Heskes,"Radboud University Nijmegen, NL",MLINI,The Dynamic Beamformer.,5,https://doi.org/10.1007/978-3-642-34713-9_19,https://dblp.org/rec/conf/nips/BahramisharifGSGH11
5,2011,Felix Bießmann,nan,Frank C. Meinecke,nan,MLINI,Non-separable Spatiotemporal Brain Hemodynamics Contain Neural Information.,5,https://doi.org/10.1007/978-3-642-34713-9_18,https://dblp.org/rec/conf/nips/BiessmannMLMM11
6,2011,Michael A. Casey,"Darthmouth College, Hanover, NH, USA",Thalia Wheatley,nan,MLINI,Population Codes Representing Musical Timbre for High-Level fMRI Categorization of Music Genres.,5,https://doi.org/10.1007/978-3-642-34713-9_5,https://dblp.org/rec/conf/nips/CaseyTKRW11
7,2011,Maxime Cauchoix,nan,Thomas Serre,nan,MLINI,The Neural Dynamics of Visual Processing in Monkey Extrastriate Cortex - A Comparison between Univariate and Multivariate Techniques.,4,https://doi.org/10.1007/978-3-642-34713-9_21,https://dblp.org/rec/conf/nips/CauchoixAFS11
8,2011,Kai-min Kevin Chang,nan,Marcel Adam Just,"Carnegie Mellon University, Center for Cognitive Brain Imaging, Pittsburgh, PA, USA",MLINI,A Latent Feature Analysis of the Neural Representation of Conceptual Knowledge.,3,https://doi.org/10.1007/978-3-642-34713-9_30,https://dblp.org/rec/conf/nips/ChangMJ11
9,2011,George H. Chen,nan,Polina Golland,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, USA",MLINI,Deformation-Invariant Sparse Coding for Modeling Spatial Variability of Functional Patterns in the Brain.,4,https://doi.org/10.1007/978-3-642-34713-9_9,https://dblp.org/rec/conf/nips/ChenFKG11
10,2011,Justin Dauwels,"Nanyang Technological University, School of Electrical and Electronic Engineering",Andrzej Cichocki,"Riken Brain Science Institute, Wako, Japan",MLINI,Inferring Brain Networks through Graphical Models with Hidden Variables.,7,https://doi.org/10.1007/978-3-642-34713-9_25,https://dblp.org/rec/conf/nips/DauwelsYWVLJC11
11,2011,Fani Deligianni,nan,Daniel Rueckert,"Imperial College London, UK",MLINI,Relating Brain Functional Connectivity to Anatomical Connections - Model Selection.,7,https://doi.org/10.1007/978-3-642-34713-9_23,https://dblp.org/rec/conf/nips/DeligianniVTRSER11
12,2011,Orla M. Doyle,nan,Andre F. Marquand,nan,MLINI,Data-Driven Modeling of BOLD Drug Response Curves Using Gaussian Process Learning.,6,https://doi.org/10.1007/978-3-642-34713-9_27,https://dblp.org/rec/conf/nips/DoyleMBSSM11
13,2011,Joset A. Etzel,nan,Todd S. Braver,nan,MLINI,Looking Outside the Searchlight.,3,https://doi.org/10.1007/978-3-642-34713-9_4,https://dblp.org/rec/conf/nips/EtzelCB11
14,2011,Nico S. Gorbach,nan,Marc Tittgemeyer,nan,MLINI,Information-Theoretic Connectivity-Based Cortex Parcellation.,5,https://doi.org/10.1007/978-3-642-34713-9_24,https://dblp.org/rec/conf/nips/GorbachSJMT11
15,2011,Alexandre Gramfort,nan,Bertrand Thirion,nan,MLINI,Beyond Brain Reading - Randomized Sparsity and Clustering to Simultaneously Predict and Identify.,3,https://doi.org/10.1007/978-3-642-34713-9_2,https://dblp.org/rec/conf/nips/GramfortVT11
16,2011,Toke Jansen Hansen,nan,Kristoffer Hougaard Madsen,"Danish Research Centre for Magnetic Resonance, Copenhagen University Hospital Hvidovre",MLINI,Decoding Complex Cognitive States Online by Manifold Regularization in Real-Time fMRI.,3,https://doi.org/10.1007/978-3-642-34713-9_10,https://dblp.org/rec/conf/nips/HansenHM11
17,2011,Stefan Haufe,"Columbia University, New York City, USA",Klaus-Robert Müller,"Technical University of Berlin, Germany",MLINI,Pitfalls in EEG-Based Brain Effective Connectivity Analysis.,4,https://doi.org/10.1007/978-3-642-34713-9_26,https://dblp.org/rec/conf/nips/HaufeNNM11
18,2011,Chris Hinrichs,nan,Vikas Singh,nan,MLINI,MKL-Based Sample Enrichment and Customized Outcomes Enable Smaller AD Clinical Trials.,4,https://doi.org/10.1007/978-3-642-34713-9_16,https://dblp.org/rec/conf/nips/HinrichsDJS11
19,2011,Shahar Jamshy,nan,Nathan Intrator,"Tel Aviv University, Blavatnik School of Computer Science, Israel",MLINI,Searchlight Based Feature Extraction.,5,https://doi.org/10.1007/978-3-642-34713-9_3,https://dblp.org/rec/conf/nips/JamshyPYHI11
20,2011,David B. Keator,"University of California, Irvine, Department of Psychiatry and Human Behavior, CA, USA",David B. Keator,"University of California, Irvine, Department of Psychiatry and Human Behavior, CA, USA",MLINI,Modality Neutral Techniques for Brain Image Understanding.,1,https://doi.org/10.1007/978-3-642-34713-9_11,https://dblp.org/rec/conf/nips/Keator11
21,2011,Sivan Kinreich,nan,Talma Hendler,nan,MLINI,Categorized EEG Neurofeedback Performance Unveils Simultaneous fMRI Deep Brain Activation.,4,https://doi.org/10.1007/978-3-642-34713-9_14,https://dblp.org/rec/conf/nips/KinreichPIH11
22,2011,Miika Koskinen,nan,Miika Koskinen,nan,MLINI,Finding Consistencies in MEG Responses to Repeated Natural Speech.,1,https://doi.org/10.1007/978-3-642-34713-9_13,https://dblp.org/rec/conf/nips/Koskinen11
23,2011,Philip P. Kwok,nan,Daniel C. Alexander,"University College London, UK",MLINI,Predicting Clinically Definite Multiple Sclerosis from Onset Using SVM.,5,https://doi.org/10.1007/978-3-642-34713-9_15,https://dblp.org/rec/conf/nips/KwokCCMA11
24,2011,Vincent Michel,nan,Bertrand Thirion,nan,MLINI,A Comparative Study of Algorithms for Intra- and Inter-subjects fMRI Decoding.,5,https://doi.org/10.1007/978-3-642-34713-9_1,https://dblp.org/rec/conf/nips/MichelGEVT11
25,2011,Emanuele Olivetti,nan,Paolo Avesani,nan,MLINI,Induction in Neuroscience with Classification - Issues and Solutions.,3,https://doi.org/10.1007/978-3-642-34713-9_6,https://dblp.org/rec/conf/nips/OlivettiGA11
26,2011,Emilio Parrado-Hernández,nan,Carles Soriano-Mas,nan,MLINI,Identification of OCD-Relevant Brain Areas through Multivariate Feature Selection.,8,https://doi.org/10.1007/978-3-642-34713-9_8,https://dblp.org/rec/conf/nips/Parrado-HernandezGRAPMCS11
27,2011,Pavan Ramkumar,nan,Lester C. Loschky,nan,MLINI,How Does the Brain Represent Visual Scenes? A Neuromagnetic Scene Categorization Study.,5,https://doi.org/10.1007/978-3-642-34713-9_12,https://dblp.org/rec/conf/nips/RamkumarPHLL11
