,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2017,Tian Tian 0001,Jun Zhu 0001,AAAI,Learning Attributes from the Crowdsourced Relative Labels.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14260,https://dblp.org/rec/conf/aaai/0001CZ17
1,2017,Ashok K. Goel 0001,Belén Díaz-Agudo,AAAI,What's Hot in Case-Based Reasoning.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/15041,https://dblp.org/rec/conf/aaai/0001D17
2,2017,Jie Xu 0001,Mihaela van der Schaar,AAAI,Progressive Prediction of Student Performance in College Programs.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14234,https://dblp.org/rec/conf/aaai/0001HMS17
3,2017,Tobias Friedrich 0001,Markus Wagner 0007,AAAI,A Generic Bet-and-Run Strategy for Speeding Up Stochastic Local Search.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14290,https://dblp.org/rec/conf/aaai/0001K017
4,2017,Hang Ma 0001,Sven Koenig,AAAI,Multi-Agent Path Finding with Delay Probabilities.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14984,https://dblp.org/rec/conf/aaai/0001KK17
5,2017,Tobias Friedrich 0001,Andrew M. Sutton,AAAI,Phase Transitions for Scale-Free SAT Formulas.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14755,https://dblp.org/rec/conf/aaai/0001KRS17
6,2017,Tobias Friedrich 0001,Frank Neumann 0001,AAAI,What's Hot in Evolutionary Computation.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14809,https://dblp.org/rec/conf/aaai/0001N17
7,2017,Radu Marinescu 0002,Rina Dechter,AAAI,Anytime Best+Depth-First Search for Bounding Marginal MAP.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14908,https://dblp.org/rec/conf/aaai/0002LID17
8,2017,Radu Marinescu 0002,Nic Wilson,AAAI,Multi-Objective Influence Diagrams with Possibly Optimal Policies.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14774,https://dblp.org/rec/conf/aaai/0002RW17
9,2017,Lin Chen 0003,Amin Karbasi,AAAI,Near-Optimal Active Learning of Halfspaces via Query Synthesis in the Noisy Setting.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14230,https://dblp.org/rec/conf/aaai/0003HK17
10,2017,Zheng Xu 0005,Junzhou Huang,AAAI,A General Efficient Hyperparameter-Free Algorithm for Convolutional Sparse Learning.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14702,https://dblp.org/rec/conf/aaai/0005H17
11,2017,Han Xiao 0005,Xiaoyan Zhu 0001,AAAI,SSP - Semantic Space Projection for Knowledge Graph Embedding with Text Descriptions.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14306,https://dblp.org/rec/conf/aaai/0005HMZ17
12,2017,Hao Wang 0014,Dit-Yan Yeung,AAAI,Relational Deep Learning - A Deep Latent Variable Model for Link Prediction.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14346,https://dblp.org/rec/conf/aaai/0014SY17
13,2017,Melika Abolhassani,Hadi Yami,AAAI,Market Pricing for Data Streams.,5,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/15015,https://dblp.org/rec/conf/aaai/AbolhassaniEHLY17
14,2017,Tameem Adel,Cassio P. de Campos,AAAI,Learning Bayesian Networks with Incomplete Data by Augmentation.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14711,https://dblp.org/rec/conf/aaai/AdelC17
15,2017,Tameem Adel,Alexander Wong,AAAI,Unsupervised Domain Adaptation with a Relaxed Covariate Shift Assumption.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14769,https://dblp.org/rec/conf/aaai/AdelZW17
16,2017,Somak Aditya,Somak Aditya,AAAI,Explainable Image Understanding Using Vision and Reasoning.,1,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14247,https://dblp.org/rec/conf/aaai/Aditya17
17,2017,Apoorv Aggarwal,Prateek Jain 0002,AAAI,Scalable Optimization of Multivariate Performance Measures in Multi-instance Multi-label Learning.,7,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/15036,https://dblp.org/rec/conf/aaai/AggarwalGSSRK017
18,2017,Meysam Aghighi,Christer Bäckström,AAAI,Plan Reordering and Parallel Execution - A Parameterized Complexity View.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14808,https://dblp.org/rec/conf/aaai/AghighiB17
19,2017,David W. Aha,Alexandra Coman,AAAI,The AI Rebellion - Changing the Narrative.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14775,https://dblp.org/rec/conf/aaai/AhaC17
20,2017,Abdullah Al-Dujaili,Sundaram Suresh,AAAI,Embedded Bandits for Large-Scale Black-Box Optimization.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14398,https://dblp.org/rec/conf/aaai/Al-DujailiS17
21,2017,Muhannad Al-Omari,Anthony G. Cohn,AAAI,Natural Language Acquisition and Grounding for Embodied Robotic Systems.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14913,https://dblp.org/rec/conf/aaai/Al-OmariDHC17
22,2017,Rabah A. Al-Zaidy,C. Lee Giles,AAAI,A Machine Learning Approach for Semantic Structuring of Scientific Charts in Scholarly Documents.,2,http://aaai.org/ocs/index.php/IAAI/IAAI17/paper/view/14275,https://dblp.org/rec/conf/aaai/Al-ZaidyG17
23,2017,Tuka Waddah AlHanai,Mohammad Mahdi Ghassemi,AAAI,Predicting Latent Narrative Mood Using Audio and Physiologic Data.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14416,https://dblp.org/rec/conf/aaai/AlHanaiG17
24,2017,Taleb Alashkar,Yun Fu 0001,AAAI,Examples-Rules Guided Deep Neural Network for Makeup Recommendation.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14773,https://dblp.org/rec/conf/aaai/AlashkarJWF17
25,2017,Michael Albert,Peter Stone,AAAI,Automated Design of Robust Mechanisms.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14541,https://dblp.org/rec/conf/aaai/AlbertCS17
26,2017,Francesco Aldà,Benjamin I. P. Rubinstein,AAAI,The Bernstein Mechanism - Function Release under Differential Privacy.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14735,https://dblp.org/rec/conf/aaai/AldaR17
27,2017,Natasha Alechina,Brian Logan,AAAI,Incentivising Monitoring in Open Normative Systems.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14911,https://dblp.org/rec/conf/aaai/AlechinaHKL17
28,2017,Scott Alfeld,Paul Barford,AAAI,Explicit Defense Actions Against Test-Set Attacks.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/15003,https://dblp.org/rec/conf/aaai/Alfeld0B17
29,2017,Reza Alijani,Ahmad S. Tajik,AAAI,Envy-Free Mechanisms with Minimum Number of Cuts.,5,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14608,https://dblp.org/rec/conf/aaai/AlijaniFGST17
30,2017,Shani Alkoby,David Sarne,AAAI,The Benefit in Free Information Disclosure When Selling Information to People.,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14783,https://dblp.org/rec/conf/aaai/AlkobyS17
31,2017,Shani Alkoby,Igal Milchtaich,AAAI,Strategic Signaling and Free Information Disclosure in Auctions.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14905,https://dblp.org/rec/conf/aaai/AlkobySM17
32,2017,Mario Alviano,Rafael Peñaloza,AAAI,Minimal Undefinedness for Fuzzy Answer Sets.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14309,https://dblp.org/rec/conf/aaai/AlvianoAP17
33,2017,Giovanni Amendola,Francesco Ricca,AAAI,On the Computation of Paracoherent Answer Sets.,5,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14358,https://dblp.org/rec/conf/aaai/AmendolaDFLR17
34,2017,Sorour E. Amiri,B. Aditya Prakash,AAAI,SnapNETS - Automatic Segmentation of Network Sequences with Node Labels.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14553,https://dblp.org/rec/conf/aaai/AmiriCP17
35,2017,Adam Amos-Binks,Adam Amos-Binks,AAAI,Problem Formulation for Accommodation Support in Plan-Based Interactive Narratives.,1,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14376,https://dblp.org/rec/conf/aaai/Amos-Binks17
36,2017,Joseph Anderson,Luis Rademacher,AAAI,Heavy-Tailed Analogues of the Covariance Matrix for ICA.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14756,https://dblp.org/rec/conf/aaai/AndersonGNR17
37,2017,Olov Andersson,Patrick Doherty 0001,AAAI,Deep Learning Quadcopter Control via Risk-Aware Active Learning.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14622,https://dblp.org/rec/conf/aaai/AnderssonWD17
38,2017,Carlos Ansótegui,Kevin Tierney,AAAI,Reactive Dialectic Search Portfolios for MaxSAT.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14872,https://dblp.org/rec/conf/aaai/AnsoteguiPST17
39,2017,Piotr Antonik,Serge Massar,AAAI,Chaotic Time Series Prediction Using a Photonic Reservoir Computer with Output Feedback.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14366,https://dblp.org/rec/conf/aaai/AntonikHHM17
40,2017,Piotr Antonik,Serge Massar,AAAI,Improving Performance of Analogue Readout Layers for Photonic Reservoir Computers with Online Learning.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14367,https://dblp.org/rec/conf/aaai/AntonikHM17
41,2017,Shuang Ao,Charles X. Ling,AAAI,Fast Generalized Distillation for Semi-Supervised Domain Adaptation.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14538,https://dblp.org/rec/conf/aaai/AoLL17
42,2017,Muhammad Usman Arif,Muhammad Usman Arif,AAAI,An Evolutionary Algorithm Based Framework for Task Allocation in Multi-Robot Teams.,1,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14671,https://dblp.org/rec/conf/aaai/Arif17
43,2017,Masataro Asai,Alex Fukunaga,AAAI,Improving Greedy Best-First Search by Removing Unintended Search Bias (Extended Abstract).,2,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14531,https://dblp.org/rec/conf/aaai/AsaiF17
44,2017,Luigi Asprino,Paolo Ciancarini,AAAI,Frame-Based Ontology Alignment.,4,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14897,https://dblp.org/rec/conf/aaai/AsprinoPGC17
45,2017,Vernon Asuncion,Heng Zhang 0006,AAAI,Polynomially Bounded Logic Programs with Function Symbols - A New Decidable.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14163,https://dblp.org/rec/conf/aaai/AsuncionZZ17
46,2017,Rashi Aswani,Praveen Paruchuri,AAAI,Improving Surveillance Using Cooperative Target Observation.,3,http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14882,https://dblp.org/rec/conf/aaai/AswaniMP17
