,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2014,Tristan Cazenave,Hiroyuki Iida,CGW@IJCAI,"Computer Games - Workshop on Computer Games, CGW 2013, Held in Conjunction with the 23rd International Conference on Artificial Intelligence, IJCAI 2013, Beijing, China, August 3, 2013, Revised Selected Papers",3,https://doi.org/10.1007/978-3-319-05428-5,https://dblp.org/rec/conf/ijcai/2013cgw
1,2013,Bruno Bouzy,Bruno Bouzy,CGW@IJCAI,Monte-Carlo Fork Search for Cooperative Path-Finding.,1,https://doi.org/10.1007/978-3-319-05428-5_1,https://dblp.org/rec/conf/ijcai/Bouzy13
2,2013,Robert Döbbelin,Alexander Reinefeld,CGW@IJCAI,Building Large Compressed PDBs for the Sliding Tile Puzzle.,3,https://doi.org/10.1007/978-3-319-05428-5_2,https://dblp.org/rec/conf/ijcai/DobbelinSR13
3,2013,Azlan Iqbal,Azlan Iqbal,CGW@IJCAI,How Relevant Are Chess Composition Conventions?,1,https://doi.org/10.1007/978-3-319-05428-5_9,https://dblp.org/rec/conf/ijcai/Iqbal13
4,2013,Marc Lanctot,Mark H. M. Winands,CGW@IJCAI,Monte Carlo Tree Search in Simultaneous Move Games with Applications to Goofspiel.,3,https://doi.org/10.1007/978-3-319-05428-5_3,https://dblp.org/rec/conf/ijcai/LanctotLW13
5,2013,Francois van Niekerk,Steve Kroon,CGW@IJCAI,Decision Trees for Computer Go Features.,2,https://doi.org/10.1007/978-3-319-05428-5_4,https://dblp.org/rec/conf/ijcai/NiekerkK13
6,2013,Max Roschke,Nathan R. Sturtevant,CGW@IJCAI,UCT Enhancements in Chinese Checkers Using an Endgame Database.,2,https://doi.org/10.1007/978-3-319-05428-5_5,https://dblp.org/rec/conf/ijcai/RoschkeS13
7,2013,Yuichiro Sato,Tristan Cazenave,CGW@IJCAI,Automated Generation of New Concepts from General Game Playing.,2,https://doi.org/10.1007/978-3-319-05428-5_6,https://dblp.org/rec/conf/ijcai/SatoC13
8,2013,Jos W. H. M. Uiterwijk,Jos W. H. M. Uiterwijk,CGW@IJCAI,Perfectly Solving Domineering Boards.,1,https://doi.org/10.1007/978-3-319-05428-5_8,https://dblp.org/rec/conf/ijcai/Uiterwijk13
9,2013,Tomás Valla,Pavel Veselý,CGW@IJCAI,WALTZ - A Strong Tzaar-Playing Program.,2,https://doi.org/10.1007/978-3-319-05428-5_7,https://dblp.org/rec/conf/ijcai/VallaV13
10,2013,Aleksey Buzmakov,Chedy Raïssi,FCA4AI@IJCAI,FCA and pattern structures for mining care trajectories.,6,http://ceur-ws.org/Vol-1058/paper1.pdf,https://dblp.org/rec/conf/ijcai/BuzmakovEJKNR13
