,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2014,Tristan Cazenave,"Université Paris-Dauphine, France",Hiroyuki Iida,nan,CGW@IJCAI,"Computer Games - Workshop on Computer Games, CGW 2013, Held in Conjunction with the 23rd International Conference on Artificial Intelligence, IJCAI 2013, Beijing, China, August 3, 2013, Revised Selected Papers",3,https://doi.org/10.1007/978-3-319-05428-5,https://dblp.org/rec/conf/ijcai/2013cgw
1,2013,Bruno Bouzy,nan,Bruno Bouzy,nan,CGW@IJCAI,Monte-Carlo Fork Search for Cooperative Path-Finding.,1,https://doi.org/10.1007/978-3-319-05428-5_1,https://dblp.org/rec/conf/ijcai/Bouzy13
2,2013,Robert Döbbelin,nan,Alexander Reinefeld,"Zuse Institute Berlin, Germany",CGW@IJCAI,Building Large Compressed PDBs for the Sliding Tile Puzzle.,3,https://doi.org/10.1007/978-3-319-05428-5_2,https://dblp.org/rec/conf/ijcai/DobbelinSR13
3,2013,Azlan Iqbal,nan,Azlan Iqbal,nan,CGW@IJCAI,How Relevant Are Chess Composition Conventions?,1,https://doi.org/10.1007/978-3-319-05428-5_9,https://dblp.org/rec/conf/ijcai/Iqbal13
4,2013,Marc Lanctot,nan,Mark H. M. Winands,"Maastricht University, The Netherlands",CGW@IJCAI,Monte Carlo Tree Search in Simultaneous Move Games with Applications to Goofspiel.,3,https://doi.org/10.1007/978-3-319-05428-5_3,https://dblp.org/rec/conf/ijcai/LanctotLW13
5,2013,Francois van Niekerk,nan,Steve Kroon,nan,CGW@IJCAI,Decision Trees for Computer Go Features.,2,https://doi.org/10.1007/978-3-319-05428-5_4,https://dblp.org/rec/conf/ijcai/NiekerkK13
6,2013,Max Roschke,nan,Nathan R. Sturtevant,"University of Denver, CO, USA",CGW@IJCAI,UCT Enhancements in Chinese Checkers Using an Endgame Database.,2,https://doi.org/10.1007/978-3-319-05428-5_5,https://dblp.org/rec/conf/ijcai/RoschkeS13
7,2013,Yuichiro Sato,nan,Tristan Cazenave,"Université Paris-Dauphine, France",CGW@IJCAI,Automated Generation of New Concepts from General Game Playing.,2,https://doi.org/10.1007/978-3-319-05428-5_6,https://dblp.org/rec/conf/ijcai/SatoC13
8,2013,Jos W. H. M. Uiterwijk,nan,Jos W. H. M. Uiterwijk,nan,CGW@IJCAI,Perfectly Solving Domineering Boards.,1,https://doi.org/10.1007/978-3-319-05428-5_8,https://dblp.org/rec/conf/ijcai/Uiterwijk13
9,2013,Tomás Valla,nan,Pavel Veselý,nan,CGW@IJCAI,WALTZ - A Strong Tzaar-Playing Program.,2,https://doi.org/10.1007/978-3-319-05428-5_7,https://dblp.org/rec/conf/ijcai/VallaV13
10,2013,Aleksey Buzmakov,nan,Chedy Raïssi,INRIA Nancy Grand-Est,FCA4AI@IJCAI,FCA and pattern structures for mining care trajectories.,6,http://ceur-ws.org/Vol-1058/paper1.pdf,https://dblp.org/rec/conf/ijcai/BuzmakovEJKNR13
11,2013,Aleksey Buzmakov,nan,Alexey Neznanov,nan,FCA4AI@IJCAI,Practical Computing with Pattern Structures in FCART Environment.,2,http://ceur-ws.org/Vol-1058/paper6.pdf,https://dblp.org/rec/conf/ijcai/BuzmakovN13
12,2013,Víctor Codocedo,nan,Amedeo Napoli,"INRIA, France",FCA4AI@IJCAI,Using pattern structures to support information retrieval with Formal Concept Analysis.,4,http://ceur-ws.org/Vol-1058/paper2.pdf,https://dblp.org/rec/conf/ijcai/CodocedoLAN13
13,2013,Pablo Cordero,nan,Manuel Ojeda-Aciego,Universidad de Málaga,FCA4AI@IJCAI,Bases via Minimal Generators.,4,http://ceur-ws.org/Vol-1058/paper4.pdf,https://dblp.org/rec/conf/ijcai/CorderoEBO13
14,2013,Jamel Eddine Jridi,nan,Guy Lapalme,nan,FCA4AI@IJCAI,FCA-Based Concept Detection in a RosettaNet PIP Ontology.,2,http://ceur-ws.org/Vol-1058/paper3.pdf,https://dblp.org/rec/conf/ijcai/JridiL13
15,2013,Artem Revenko,nan,Artem Revenko,nan,FCA4AI@IJCAI,Debugging Program Code Using Implicative Dependencies.,1,http://ceur-ws.org/Vol-1058/paper5.pdf,https://dblp.org/rec/conf/ijcai/Revenko13
16,2013,Peng Wang,nan,Françoise Fogelman-Soulié,nan,FCA4AI@IJCAI,Towards Knowledge Structuring of Sensor Data Based on FCA and Ontology.,5,http://ceur-ws.org/Vol-1058/paper8.pdf,https://dblp.org/rec/conf/ijcai/WangLMJF13
17,2013,Sergei O. Kuznetsov,nan,Sebastian Rudolph,nan,FCA4AI@IJCAI,"Proceedings of the International Workshop ""What can FCA do for Artificial Intelligence?"" (FCA4AI at IJCAI 2013), Beijing, China, August 5, 2013.",3,http://ceur-ws.org/Vol-1058,https://dblp.org/rec/conf/ijcai/2013fca4ai
18,2013,Ezilda Almeida,nan,João Gama 0001,"University of Porto, Laboratory of Artificial Intelligence and Decision Support (LIAAD)",UDM@IJCAI,Learning Model Rules From High-Speed Data Streams.,3,http://ceur-ws.org/Vol-1088/paper2.pdf,https://dblp.org/rec/conf/ijcai/AlmeidaFG13
19,2013,Wei Fan 0001,"Tencent Medical AI Lab, Palo Alto, CA, USA",Wei Fan 0001,"Tencent Medical AI Lab, Palo Alto, CA, USA",UDM@IJCAI,NIM - Scalable Distributed Stream Processing System on Mobile Network Data.,1,http://ceur-ws.org/Vol-1088/invited2.pdf,https://dblp.org/rec/conf/ijcai/Fan13
20,2013,Wentao Fan,nan,Nizar Bouguila,nan,UDM@IJCAI,Visual Scenes Clustering Using Variational Incremental Learning of Infinite Generalized Dirichlet Mixture Models.,2,http://ceur-ws.org/Vol-1088/paper4.pdf,https://dblp.org/rec/conf/ijcai/FanB13a
21,2013,William Groves,nan,Maria L. Gini,"University of Minnesota, USA",UDM@IJCAI,Predicting Globally and Locally - A Comparison of Methods for Vehicle Trajectory Prediction.,3,http://ceur-ws.org/Vol-1088/paper1.pdf,https://dblp.org/rec/conf/ijcai/GrovesNG13
22,2013,Marius Hoffmann,nan,Michael May 0001,"Siemens Corporate Technology, Munich, Germany",UDM@IJCAI,Road-quality Classification and Bump Detection with Bicycle-Mounted Smartphones.,3,http://ceur-ws.org/Vol-1088/paper7.pdf,https://dblp.org/rec/conf/ijcai/HoffmannMM13
23,2013,Luís Moreira-Matias,nan,Luís Damas,nan,UDM@IJCAI,On Recommending Urban Hotspots to Find Our Next Passenger.,6,http://ceur-ws.org/Vol-1088/paper3.pdf,https://dblp.org/rec/conf/ijcai/Moreira-MatiasFGFMD13
24,2013,Bruno Silva 0003,"Instituto Politécnico de Setúbal, Portugal",Nuno Cavalheiro Marques,"New University of Lisbon, Portugal",UDM@IJCAI,Simulating Price Interactions by Mining Multivariate Financial Time Series.,3,http://ceur-ws.org/Vol-1088/paper8.pdf,https://dblp.org/rec/conf/ijcai/SilvaCM13
25,2013,Bruno Silva 0003,"Instituto Politécnico de Setúbal, Portugal",Nuno Cavalheiro Marques,"New University of Lisbon, Portugal",UDM@IJCAI,Ubiquitous Self-Organizing Maps.,2,http://ceur-ws.org/Vol-1088/paper10.pdf,https://dblp.org/rec/conf/ijcai/SilvaM13
26,2013,Olga Streibel,"FU Berlin, Institute of Computer Science",Danilo Montesi,nan,UDM@IJCAI,Trend Template - Mining Trends With a Semi-formal Trend Model.,4,http://ceur-ws.org/Vol-1088/paper9.pdf,https://dblp.org/rec/conf/ijcai/StreibelWTM13
27,2013,Harold Vasquez Chavarria,nan,Hugo Jair Escalante,"Facultad de Ingeniería Mecánica y Eléctrica, Universidad Autónoma de Nuevo León",UDM@IJCAI,Simultaneous Segmentation and Recognition of Gestures for Human-Machine Interaction.,3,http://ceur-ws.org/Vol-1088/paper5.pdf,https://dblp.org/rec/conf/ijcai/VasquezSE13
28,2013,Daniel Villatoro,nan,Marc Torrent-Moreno,"Barcelona Digital Technology Centre, Spain",UDM@IJCAI,Cicerone - Design of a Real-Time Area Knowledge-Enhanced Venue Recommender.,5,http://ceur-ws.org/Vol-1088/paper6.pdf,https://dblp.org/rec/conf/ijcai/VillatoroAPGT13
29,2013,Zhi-Hua Zhou,"Nanjing University, State Key Laboratory for Novel Software Technology, China",Zhi-Hua Zhou,"Nanjing University, State Key Laboratory for Novel Software Technology, China",UDM@IJCAI,Exploiting Label Relationship in Multi-Label Learning.,1,http://ceur-ws.org/Vol-1088/invited1.pdf,https://dblp.org/rec/conf/ijcai/Zhou13
30,2013,João Gama 0001,"University of Porto, Laboratory of Artificial Intelligence and Decision Support (LIAAD)",Carlos Abreu Ferreira,nan,UDM@IJCAI,"Proceedings of the 3rd Workshop on Ubiquitous Data Mining co-located with the 23rd International Joint Conference on Artificial Intelligence (IJCAI 2013), Beijing, China, August 3, 2013.",5,http://ceur-ws.org/Vol-1088,https://dblp.org/rec/conf/ijcai/2013udm
