,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2019,Mohammad Akbari,Rumi Chunara,MLHC,Using Contextual Information to Improve Blood Glucose Prediction.,2,http://proceedings.mlr.press/v106/akbar19a.html,https://dblp.org/rec/conf/mlhc/AkbariC19
1,2019,Irfan Al-Hussaini,Jimeng Sun,MLHC,SLEEPER - interpretable Sleep staging via Prototypes from Expert Rules.,4,http://proceedings.mlr.press/v106/al-hussaini19a.html,https://dblp.org/rec/conf/mlhc/Al-HussainiXWS19
2,2019,Siddharth Biswal,Jimeng Sun,MLHC,EEGtoText - Learning to Write Medical Reports from EEG Recordings.,4,http://proceedings.mlr.press/v106/biswal19a.html,https://dblp.org/rec/conf/mlhc/BiswalXWS19
3,2019,Ian C. Covert,Ming Jack Po,MLHC,Temporal Graph Convolutional Networks for Automatic Seizure Detection.,7,http://proceedings.mlr.press/v106/covert19a.html,https://dblp.org/rec/conf/mlhc/CovertKNZSHP19
4,2019,Surya Teja Devarakonda,Madalina Fiterau,MLHC,FLARe - Forecasting by Learning Anticipated Representations.,4,http://proceedings.mlr.press/v106/devarakonda19a.html,https://dblp.org/rec/conf/mlhc/DevarakondaWFF19
5,2019,David Dov,Lawrence Carin,MLHC,Thyroid Cancer Malignancy Prediction From Whole Slide Cytopathology Images.,6,http://proceedings.mlr.press/v106/dov19a.html,https://dblp.org/rec/conf/mlhc/DovKCRHC19
6,2019,Grace Guan,Barbara E. Engelhardt,MLHC,Predicting Sick Patient Volume in a Pediatric Outpatient Setting using Time Series Analysis.,2,http://proceedings.mlr.press/v106/guan19a.html,https://dblp.org/rec/conf/mlhc/GuanE19
7,2019,Charles Hamesse,Cheng Zhang 0005,MLHC,Simultaneous Measurement Imputation and Outcome Prediction for Achilles Tendon Rupture Rehabilitation.,5,http://proceedings.mlr.press/v106/hamesse19a.html,https://dblp.org/rec/conf/mlhc/HamesseTAKZ19
8,2019,Shiva Kaul,Karianne Anthes,MLHC,Measuring the Sympathetic Response to Intense Exercise in a Practical Setting.,3,http://proceedings.mlr.press/v106/kaul19a.html,https://dblp.org/rec/conf/mlhc/KaulFA19
9,2019,Weirui Kong,Thalia Shoshana Field,MLHC,A Neural Model for Predicting Dementia from Language.,4,http://proceedings.mlr.press/v106/kong19a.html,https://dblp.org/rec/conf/mlhc/KongJCF19
10,2019,Trent Kyono,Mihaela van der Schaar,MLHC,Multi-view Multi-task Learning for Improving Autonomous Mammogram Diagnosis.,3,http://proceedings.mlr.press/v106/kyono19a.html,https://dblp.org/rec/conf/mlhc/KyonoGS19
11,2019,Tingfung Lau,Zachary C. Lipton,MLHC,Embryo Staging with Weakly-Supervised Region Selection and Dynamically-Decoded Predictions.,6,http://proceedings.mlr.press/v106/lau19a.html,https://dblp.org/rec/conf/mlhc/LauNGDML19
12,2019,Hao-Chih Lee,Joel T. Dudley,MLHC,Enhancing high-content imaging for studying microtubule networks at large-scale.,4,http://proceedings.mlr.press/v106/lee19a.html,https://dblp.org/rec/conf/mlhc/LeeCMD19
13,2019,Guanxiong Liu,Marzyeh Ghassemi,MLHC,Clinically Accurate Chest X-Ray Report Generation.,7,http://proceedings.mlr.press/v106/liu19a.html,https://dblp.org/rec/conf/mlhc/LiuHMBWSG19
14,2019,Mark Mirtchouk,Samantha Kleinberg,MLHC,Automated Estimation of Food Type from Body-worn Audio and Motion Sensors in Free-Living Environments.,4,http://proceedings.mlr.press/v106/mirtchouk19a.html,https://dblp.org/rec/conf/mlhc/MirtchoukMDK19
15,2019,Michael Moor,Karsten M. Borgwardt,MLHC,Early Recognition of Sepsis with Gaussian Process Temporal Convolutional Networks and Dynamic Time Warping.,5,http://proceedings.mlr.press/v106/moor19a.html,https://dblp.org/rec/conf/mlhc/MoorHRRB19
16,2019,Supriya Nagesh,James M. Rehg,MLHC,A Spatiotemporal Approach to Predicting Glaucoma Progression Using a CT-HMM.,6,http://proceedings.mlr.press/v106/nagesh19a.html,https://dblp.org/rec/conf/mlhc/NageshM0WSR19
17,2019,Chirag Nagpal,Artur Dubrawski,MLHC,Dynamically Personalized Detection of Hemorrhage.,4,http://proceedings.mlr.press/v106/nagpal19a.html,https://dblp.org/rec/conf/mlhc/NagpalLPD19
18,2019,Bret Nestor,Marzyeh Ghassemi,MLHC,Feature Robustness in Non-stationary Health Records - Caveats to Deployable Model Performance in Common Clinical Machine Learning Tasks.,8,http://proceedings.mlr.press/v106/nestor19a.html,https://dblp.org/rec/conf/mlhc/NestorMBBNHGG19
19,2019,Jeeheh Oh,Jenna Wiens,MLHC,Relaxed Parameter Sharing - Effectively Modeling Time-Varying Relationships in Clinical Time-Series.,5,http://proceedings.mlr.press/v106/oh19a.html,https://dblp.org/rec/conf/mlhc/OhWTSW19
20,2019,Jose Javier Gonzalez Ortiz,Marzyeh Ghassemi,MLHC,Learning from Few Subjects with Large Amounts of Voice Monitoring Data.,6,http://proceedings.mlr.press/v106/ortiz19a.html,https://dblp.org/rec/conf/mlhc/OrtizMSHGG19
21,2019,Stephen R. Pfohl,Nigam H. Shah,MLHC,Counterfactual Reasoning for Fair Clinical Risk Prediction.,4,http://proceedings.mlr.press/v106/pfohl19a.html,https://dblp.org/rec/conf/mlhc/PfohlDDS19
22,2019,Viraj Prabhu,Xavier Amatriain,MLHC,Few-Shot Learning for Dermatological Disease Diagnosis.,6,http://proceedings.mlr.press/v106/prabhu19a.html,https://dblp.org/rec/conf/mlhc/PrabhuKRCSA19
23,2019,Youran Qi,Qi Tang,MLHC,Predicting Phase 3 Clinical Trial Results by Modeling Phase 2 Clinical Trial Subject Level Data Using Deep Learning.,2,http://proceedings.mlr.press/v106/qi19a.html,https://dblp.org/rec/conf/mlhc/QiT19
24,2019,Bhanu Pratap Singh Rawat,Hong Yu 0001,MLHC,Clinical Judgement Study using Question Answering from Electronic Health Records.,3,http://proceedings.mlr.press/v106/rawat19a.html,https://dblp.org/rec/conf/mlhc/RawatLY19
25,2019,Victor A. Rodriguez,Adler Perotte,MLHC,Phenotype Inference with Semi-Supervised Mixed Membership Models.,2,http://proceedings.mlr.press/v106/rodriguez19a.html,https://dblp.org/rec/conf/mlhc/RodriguezP19
26,2019,Ognjen (Oggi) Rudovic,Rosalind W. Picard,MLHC,Meta-Weighted Gaussian Process Experts for Personalized Forecasting of AD Cognitive Changes.,6,http://proceedings.mlr.press/v106/rudovic19a.html,https://dblp.org/rec/conf/mlhc/RudovicUGPRP19
27,2019,Divya Shanmugam,John V. Guttag,MLHC,Multiple Instance Learning for ECG Risk Stratification.,3,http://proceedings.mlr.press/v106/shanmugam19a.html,https://dblp.org/rec/conf/mlhc/ShanmugamBG19
28,2019,Bonggun Shin,Joyce C. Ho,MLHC,Self-Attention Based Molecule Representation for Predicting Drug-Target Interaction.,4,http://proceedings.mlr.press/v106/shin19a.html,https://dblp.org/rec/conf/mlhc/ShinPKH19
29,2019,Avijit Thawani,Byron C. Wallace,MLHC,Are Online Reviews of Physicians Biased Against Female Providers?,4,http://proceedings.mlr.press/v106/thawani19a.html,https://dblp.org/rec/conf/mlhc/ThawaniPSW19
30,2019,Sana Tonekaboni,Anna Goldenberg,MLHC,What Clinicians Want - Contextualizing Explainable Machine Learning for Clinical End Use.,4,http://proceedings.mlr.press/v106/tonekaboni19a.html,https://dblp.org/rec/conf/mlhc/TonekaboniJMG19
31,2019,Iñigo Urteaga,Noémie Elhadad,MLHC,Multi-Task Gaussian Processes and Dilated Convolutional Networks for Reconstruction of Reproductive Hormonal Dynamics.,5,http://proceedings.mlr.press/v106/urteaga19a.html,https://dblp.org/rec/conf/mlhc/UrteagaBHAE19
32,2019,Keyang Xu,Eric P. Xing,MLHC,Multimodal Machine Learning for Automated ICD Coding.,12,http://proceedings.mlr.press/v106/xu19a.html,https://dblp.org/rec/conf/mlhc/XuLPGBMPKCMXX19
33,2019,Steve Yadlowsky,Lu Tian,MLHC,A Calibration Metric for Risk Scores with Survival Data.,3,http://proceedings.mlr.press/v106/yadlowsky19a.html,https://dblp.org/rec/conf/mlhc/YadlowskyBT19
34,2019,Jinsung Yoon,Mihaela van der Schaar,MLHC,ASAC - Active Sensing using Actor-Critic models.,3,http://proceedings.mlr.press/v106/yoon19a.html,https://dblp.org/rec/conf/mlhc/YoonJS19
35,2019,Linying Zhang,George Hripcsak,MLHC,The Medical Deconfounder - Assessing Treatment Effects with Electronic Health Records.,6,http://proceedings.mlr.press/v106/zhang19a.html,https://dblp.org/rec/conf/mlhc/ZhangWOMBH19
36,2019,Min Zheng,Samantha Kleinberg,MLHC,Using Domain Knowledge to Overcome Latent Variables in Causal Inference from Time Series.,2,http://proceedings.mlr.press/v106/zheng19a.html,https://dblp.org/rec/conf/mlhc/ZhengK19
37,2019,Finale Doshi-Velez,Jenna Wiens,MLHC,"Proceedings of the Machine Learning for Healthcare Conference, MLHC 2019, 9-10 August 2019, Ann Arbor, Michigan, USA.",7,http://proceedings.mlr.press/v106/,https://dblp.org/rec/conf/mlhc/2019
38,2020,Yuan Luo 0004,Chengsheng Mao,MLHC,ScanMap - Supervised Confounding Aware Non-negative Matrix Factorization for Polygenic Risk Modeling.,2,http://proceedings.mlr.press/v126/luo20a.html,https://dblp.org/rec/conf/mlhc/0004M20
39,2020,George-Alexandru Adam,Anna Goldenberg,MLHC,Hidden Risks of Machine Learning Applied to Healthcare - Unintended Feedback Loops Between Models and Future Data Causing Model Degradation.,4,http://proceedings.mlr.press/v126/adam20a.html,https://dblp.org/rec/conf/mlhc/AdamCHG20
40,2020,Riddhiman Adib,Mohammad Adibuzzaman,MLHC,A Causally Formulated Hazard Ratio Estimation through Backdoor Adjustment on Structural Causal Model.,4,http://proceedings.mlr.press/v126/adib20a.html,https://dblp.org/rec/conf/mlhc/AdibGAA20
41,2020,Monica Agrawal,David Sontag,MLHC,Robust Benchmarking for Machine Learning of Clinical Entity Extraction.,5,http://proceedings.mlr.press/v126/agrawal20a.html,https://dblp.org/rec/conf/mlhc/AgrawalOFLS20
