,year,first-author,first-author-affiliation,first-author-affiliation-country,last-author,last-author-affiliation,last-author-affiliation-country,journal/conference,title,number-of-authors,paper-url,DBLP-url
0,2012,Georg Langs,medical university of vienna,Austria,Brian Murphy,carnegie mellon university,United States,MLINI,"machine learning and interpretation in neuroimaging - international workshop, mlini 2011, held at nips 2011, sierra nevada, spain, december 16-17, 2011, revised selected and invited contributions",4,https://doi.org/10.1007/978-3-642-34713-9,https://dblp.org/rec/conf/nips/2011mlini
1,2011,Trine Julie Abrahamsen,technical university of denmark,Denmark,Lars Kai Hansen,technical university of denmark,Denmark,MLINI,restoring the generalizability of svm based decoding in high dimensional neuroimage data.,2,https://doi.org/10.1007/978-3-642-34713-9_32,https://dblp.org/rec/conf/nips/AbrahamsenH11
2,2011,Kasper Winther Andersen,technical university of denmark,Denmark,Morten M�rup,technical university of denmark,Denmark,MLINI,identification of functional clusters in the striatum using infinite relational modeling.,5,https://doi.org/10.1007/978-3-642-34713-9_29,https://dblp.org/rec/conf/nips/AndersenMSHM11
3,2011,Ariana E. Anderson,,,Mark S. Cohen,,,MLINI,real-time functional mri classification of brain states using markov-svm hybrid models - peering inside the rt-fmri black box.,5,https://doi.org/10.1007/978-3-642-34713-9_31,https://dblp.org/rec/conf/nips/AndersonHDBC11
4,2011,Ali Bahramisharif,radboud university nijmegen,Netherlands,Tom Heskes,radboud university nijmegen,Netherlands,MLINI,the dynamic beamformer.,5,https://doi.org/10.1007/978-3-642-34713-9_19,https://dblp.org/rec/conf/nips/BahramisharifGSGH11
5,2011,Felix Bie�mann,berlin institute of technology,Germany,Frank C. Meinecke,berlin institute of technology,Germany,MLINI,non-separable spatiotemporal brain hemodynamics contain neural information.,5,https://doi.org/10.1007/978-3-642-34713-9_18,https://dblp.org/rec/conf/nips/BiessmannMLMM11
6,2011,Michael A. Casey,bregman music and auditory research studio,United States,Thalia Wheatley,dartmouth college,United States,MLINI,population codes representing musical timbre for high-level fmri categorization of music genres.,5,https://doi.org/10.1007/978-3-642-34713-9_5,https://dblp.org/rec/conf/nips/CaseyTKRW11
7,2011,Maxime Cauchoix,facult� de m�decine de purpan,,Thomas Serre,brown university,United States,MLINI,the neural dynamics of visual processing in monkey extrastriate cortex - a comparison between univariate and multivariate techniques.,4,https://doi.org/10.1007/978-3-642-34713-9_21,https://dblp.org/rec/conf/nips/CauchoixAFS11
8,2011,Kai-min Kevin Chang,carnegie mellon university,United States,Marcel Adam Just,carnegie mellon university,United States,MLINI,a latent feature analysis of the neural representation of conceptual knowledge.,3,https://doi.org/10.1007/978-3-642-34713-9_30,https://dblp.org/rec/conf/nips/ChangMJ11
9,2011,George H. Chen,massachusetts institute of technology,United States,Polina Golland,massachusetts institute of technology,United States,MLINI,deformation-invariant sparse coding for modeling spatial variability of functional patterns in the brain.,4,https://doi.org/10.1007/978-3-642-34713-9_9,https://dblp.org/rec/conf/nips/ChenFKG11
10,2011,Justin Dauwels,nanyang technological university,Singapore,Andrzej Cichocki,riken brain science institute,Japan,MLINI,inferring brain networks through graphical models with hidden variables.,7,https://doi.org/10.1007/978-3-642-34713-9_25,https://dblp.org/rec/conf/nips/DauwelsYWVLJC11
11,2011,Fani Deligianni,imperial college london,United Kingdom,Daniel Rueckert,imperial college london,United Kingdom,MLINI,relating brain functional connectivity to anatomical connections - model selection.,7,https://doi.org/10.1007/978-3-642-34713-9_23,https://dblp.org/rec/conf/nips/DeligianniVTRSER11
12,2011,Orla M. Doyle,king�s college,,Andre F. Marquand,king�s college,,MLINI,data-driven modeling of bold drug response curves using gaussian process learning.,6,https://doi.org/10.1007/978-3-642-34713-9_27,https://dblp.org/rec/conf/nips/DoyleMBSSM11
13,2011,Joset A. Etzel,washington university in st. louis,United States,Todd S. Braver,washington university in st. louis,United States,MLINI,looking outside the searchlight.,3,https://doi.org/10.1007/978-3-642-34713-9_4,https://dblp.org/rec/conf/nips/EtzelCB11
14,2011,Nico S. Gorbach,max-planck institute for neurological research,Germany,Marc Tittgemeyer,max-planck institute for neurological research,Germany,MLINI,information-theoretic connectivity-based cortex parcellation.,5,https://doi.org/10.1007/978-3-642-34713-9_24,https://dblp.org/rec/conf/nips/GorbachSJMT11
15,2011,Alexandre Gramfort,inria,France,Bertrand Thirion,inria,France,MLINI,beyond brain reading - randomized sparsity and clustering to simultaneously predict and identify.,3,https://doi.org/10.1007/978-3-642-34713-9_2,https://dblp.org/rec/conf/nips/GramfortVT11
16,2011,Toke Jansen Hansen,technical university of denmark,Denmark,Kristoffer Hougaard Madsen,copenhagen university hospital,Germany,MLINI,decoding complex cognitive states online by manifold regularization in real-time fmri.,3,https://doi.org/10.1007/978-3-642-34713-9_10,https://dblp.org/rec/conf/nips/HansenHM11
17,2011,Stefan Haufe,berlin institute of technology,Germany,Klaus-Robert M�ller,berlin institute of technology,Germany,MLINI,pitfalls in eeg-based brain effective connectivity analysis.,4,https://doi.org/10.1007/978-3-642-34713-9_26,https://dblp.org/rec/conf/nips/HaufeNNM11
18,2011,Chris Hinrichs,university of wisconsin-madison,United States,Vikas Singh,university of wisconsin-madison,United States,MLINI,mkl-based sample enrichment and customized outcomes enable smaller ad clinical trials.,4,https://doi.org/10.1007/978-3-642-34713-9_16,https://dblp.org/rec/conf/nips/HinrichsDJS11
19,2011,Shahar Jamshy,tel aviv university,Israel,Nathan Intrator,tel aviv university,Israel,MLINI,searchlight based feature extraction.,5,https://doi.org/10.1007/978-3-642-34713-9_3,https://dblp.org/rec/conf/nips/JamshyPYHI11
20,2011,David B. Keator,university of california,United States,David B. Keator,university of california,United States,MLINI,modality neutral techniques for brain image understanding.,1,https://doi.org/10.1007/978-3-642-34713-9_11,https://dblp.org/rec/conf/nips/Keator11
21,2011,Sivan Kinreich,tel aviv university,Israel,Talma Hendler,tel aviv university,Israel,MLINI,categorized eeg neurofeedback performance unveils simultaneous fmri deep brain activation.,4,https://doi.org/10.1007/978-3-642-34713-9_14,https://dblp.org/rec/conf/nips/KinreichPIH11
22,2011,Miika Koskinen,aalto university,Finland,Miika Koskinen,aalto university,Finland,MLINI,finding consistencies in meg responses to repeated natural speech.,1,https://doi.org/10.1007/978-3-642-34713-9_13,https://dblp.org/rec/conf/nips/Koskinen11
23,2011,Philip P. Kwok,university college london,United Kingdom,Daniel C. Alexander,university college london,United Kingdom,MLINI,predicting clinically definite multiple sclerosis from onset using svm.,5,https://doi.org/10.1007/978-3-642-34713-9_15,https://dblp.org/rec/conf/nips/KwokCCMA11
24,2011,Vincent Michel,i2bm,France,Bertrand Thirion,i2bm,France,MLINI,a comparative study of algorithms for intra- and inter-subjects fmri decoding.,5,https://doi.org/10.1007/978-3-642-34713-9_1,https://dblp.org/rec/conf/nips/MichelGEVT11
25,2011,Emanuele Olivetti,bruno kessler foundation and university of trento (cimec),Italy,Paolo Avesani,bruno kessler foundation and university of trento (cimec),Italy,MLINI,induction in neuroscience with classification - issues and solutions.,3,https://doi.org/10.1007/978-3-642-34713-9_6,https://dblp.org/rec/conf/nips/OlivettiGA11
26,2011,Emilio Parrado-Hern�ndez,universidad carlos iii de madrid,Spain,Carles Soriano-Mas,bellvitge university hospital,Spain,MLINI,identification of ocd-relevant brain areas through multivariate feature selection.,8,https://doi.org/10.1007/978-3-642-34713-9_8,https://dblp.org/rec/conf/nips/Parrado-HernandezGRAPMCS11
27,2011,Pavan Ramkumar,aalto university,Finland,Lester C. Loschky,kansas state university,United States,MLINI,how does the brain represent visual scenes? a neuromagnetic scene categorization study.,5,https://doi.org/10.1007/978-3-642-34713-9_12,https://dblp.org/rec/conf/nips/RamkumarPHLL11
28,2011,Jane M. Rondina,king�s college,,Janaina Mourão Miranda,king�s college,,MLINI,a new feature selection method based on stability theory - exploring parameters space to evaluate classification accuracy in neuroimaging data.,3,https://doi.org/10.1007/978-3-642-34713-9_7,https://dblp.org/rec/conf/nips/RondinaSM11
