,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
0,Tony Duan,Microsoft Research,Male,Alejandro Schuler,Unlearn.ai,Male,NGBoost: Natural Gradient Boosting for Probabilistic Prediction
1,Lizzie Kumar,University of Utah,Female,Sorelle Friedler,Haverford College,Female,Problems with Shapley-value-based explanations as feature importance measures
2,Yusuke Tsuzuku,"Preferred Networks, Inc",Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Normalized Flat Minima: Exploring Scale Invariant Definition of Flat Minima for Neural Networks Using PAC-Bayesian Analysis
3,Sen Na,The University of Chicago,Male,Mladen Kolar,University of Chicago Booth School of Business,Male,Semiparametric Nonlinear Bipartite Graph Representation Learning with Provable Guarantees
4,Yansong Gao,University of Pennsylvania,Male,Pratik Chaudhari,University of Pennsylvania,Male,A Free-Energy Principle for Representation Learning
5,James Kostas,University of Massachusetts Amherst,Male,Philip Thomas,University of Massachusetts Amherst,Male,Asynchronous Coagent Networks
6,Yibo Yang,"University of California, Irivine",Male,Stephan Mandt,"University of California, Irivine",Male,Variational Bayesian Quantization
7,Lingxiao Wang,Northwestern University,Male,Zhaoran Wang,Northwestern U,Male,On the Global Optimality of Model-Agnostic Meta-Learning
8,Razieh Nabi,Johns Hopkins University,Female,Ilya Shpitser,Johns Hopkins University,Male,Full Law Identification in Graphical Models of Missing Data: Completeness Results
9,Xiaobo Wang,JD AI Research,Male,Tao Mei,AI Research of JD.com,Male,Loss Function Search for Face Recognition
10,Cong Xie,UIUC,Male,Indranil Gupta,UIUC,Male,Zeno++: Robust Fully Asynchronous SGD
11,Will Grathwohl,University of Toronto,Male,Richard Zemel,Vector Institute,Male,Learning the Stein Discrepancy for Training and Evaluating Energy-Based Models without Sampling
12,Huajie Shao,University of Illinois at Urbana-Champaign,Male,Tarek Abdelzaher,University of Illinois at Urbana-Champaign,Male,ControlVAE: Controllable Variational Autoencoder
13,Runchao Ma,University of Iowa,Male,Tianbao Yang,The University of Iowa,Male,Quadratically Regularized Subgradient Methods for Weakly Convex Optimization with Weakly Convex Constraints
14,Ting Chen,Google Brain,Male,Geoffrey Hinton,Google,Male,A Simple Framework for Contrastive Learning of Visual Representations
15,Imtiaz Ziko,ETS Montreal,Male,Ismail Ben Ayed,ETS Montreal,Male,Laplacian Regularized Few-Shot Learning
16,Yi Hao,"University of California, San Diego",Male,Alon Orlitsky,UCSD,Male,Data Amplification: Instance-Optimal Property Estimation 
17,Giuseppe Vietri,University of Minnesota,Male,Steven Wu,University of Minnesota,Male,Private Reinforcement Learning with PAC and Regret Guarantees
18,Matthew Fahrbach,Georgia Institute of Technology,Male,Chi Wang,Microsoft Research,Male,Faster Graph Embeddings via Coarsening
19,Ming Chen,Renmin University of China,Male,Yaliang Li,Alibaba Group,Male,Simple and Deep Graph Convolutional Networks
20,Zhun Deng,Harvard,Male,Weijie Su,University of Pennsylvania,Male,Towards Understanding the Dynamics of the First-Order Adversaries
21,Chris DeCarolis,University of Maryland,Male,Furong Huang,University of Maryland College Park,Female,An end-to-end Differentially Private Latent Dirichlet Allocation Using a Spectral Algorithm
22,Pranjal Awasthi,Rutgers University,Male,Mehryar Mohri,Google Research and Courant Institute of Mathematical Sciences,Male,Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks
23,Wei Chen,Microsoft,Male,Haoyu Zhao,Tsinghua University,Male,Combinatorial Pure Exploration for Dueling Bandit
24,Daniel Rothchild,UC Berkeley,Male,Raman Arora,Johns Hopkins University,Male,FetchSGD: Communication-Efficient Federated Learning with Sketching
25,Sicong Huang,University of Toronto,Male,Roger Grosse,University of Toronto and Vector Institute,Male,Evaluating Lossy Compression Rates of Deep Generative Models
26,Keerti Anand,Duke University,Male,Debmalya Panigrahi,Duke University,Male,Customizing ML Predictions for Online Algorithms
27,Chi Jin,Princeton University,Male,Michael Jordan,UC Berkeley,Male,What is Local Optimality in Nonconvex-Nonconcave Minimax Optimization?
28,Lan N. Nguyen,University of Florida,Male,My T. Thai,University of Florida,Female,Streaming k-Submodular Maximization under Noise subject to Size Constraint
29,Prashanth L.A.,IIT Madras,Male,Ravi Kolla,ABInBev,Male,Concentration bounds for CVaR estimation: The cases of light-tailed and heavy-tailed distributions
30,Zonghan Yang,Tsinghua University,Male,Zuoqiang Shi,Tsinghua University,Male,Interpolation between Residual and Non-Residual Networks
31,XICHUAN ZHOU,Chongqing University,Male,Cong Shi,Chongqing University,Male,MoNet3D: Towards Accurate Monocular 3D Object Localization in Real Time
32,Shiyu Li,Duke University,Male,Yiran Chen,Duke University,Male,PENNI: Pruned Kernel Sharing for Efficient CNN Inference
33,Vihari Piratla,IIT Bombay,Male,Sunita Sarawagi,IIT Bombay,Female,Efficient Domain Generalization via Common-Specific Low-Rank Decomposition
34,LEI FENG,Nanyang Technological University,Male,Masashi Sugiyama,RIKEN / The University of Tokyo,Male,Learning with Multiple Complementary Labels
35,Sepideh Mahabadi,Toyota Technological Institute at Chicago,Female,Ali Vakilian,University of Wisconsin-Madison,Male,Individual Fairness for k-Clustering
36,Steve Li,University of Massachusetts Amherst,Male,Benjamin M Marlin,University of Massachusetts Amherst,Male,Learning from Irregularly-Sampled Time Series: A Missing Data Perspective
