,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
0,0,Zeyuan Allen-Zhu,Male,Microsoft Research,Xinshang Wang,Male,MIT,The Lingering of Gradients: How to Reuse Gradients Over Time.
1,1,Pan Li,Male,University of Illinois Urbana-Champaign,Olgica Milenkovic,Female,University of Illinois at Urbana-Champaign,Quadratic Decomposable Submodular Function Minimization.
2,2,Pierre-Alexandre Mattei,Male,ITU Copenhagen,Jes Frellsen,Male,IT University of Copenhagen,Leveraging the Exact Likelihood of Deep Latent Variable Models.
3,3,Arash Vahdat,Male,Quadrant.ai (D-Wave),William Macready,Male,D-Wave,DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors.
4,4,Rui Shu,Male,Stanford University,Stefano Ermon,Male,Stanford,Amortized Inference Regularization.
5,5,Amir H Khoshaman,Male,D-Wave Systems Inc,Mohammad Amin,Male,D-Wave Systems Inc,GumBolt: Extending Gumbel trick to Boltzmann priors.
6,6,Tengfei Ma,Male,IBM Research,Cao Xiao,Male,IBM Research,Constrained Generation of Semantically Valid Graphs via Regularizing Variational Autoencoders.
7,7,Fangchang Ma,Male,MIT,Sertac Karaman,Male,MIT,Invertibility of Convolutional Generative Networks from Partial Measurements.
8,8,Huaibo Huang,Male,"Institute of Automation, Chinese Academy of Science",Tieniu Tan,Male,Chinese Academy of Sciences,IntroVAE: Introspective Variational Autoencoders for Photographic Image Synthesis.
9,9,Sandeep Subramanian,Male,University of Montreal,Chris Pal,Male,"MILA, Polytechnique Montréal, Element AI",Towards Text Generation with Adversarially Learned Neural Outlines.
10,10,Hadi Kazemi,Male,WVU,Nasser Nasrabadi,Male,WVU,Unsupervised Image-to-Image Translation Using Domain-Specific Variational Information Bound.
11,11,Jonas Adler,Male,KTH - Royal Institute of Technology,Sebastian Lunz,Male,University of Cambridge,Banach Wasserstein GAN.
12,12,Farzan Farnia,Male,Stanford University,David Tse,Male,Stanford University,A Convex Duality Framework for GANs.
13,13,Maziar Sanjabi,Male,University of Southern California,Jason Lee,Male,University of Southern California,On the Convergence and Robustness of Training GANs with Regularized Optimal Transport.
14,14,Zinan Lin,Male,Carnegie Mellon University,Sewoong Oh,Male,University of Washington,PacGAN: The power of two samples in generative adversarial networks.
15,15,Zhewei Yao,Male,UC Berkeley,Michael W Mahoney,Male,UC Berkeley,Hessian-based Analysis of Large Batch Training and Robustness to Adversaries.
16,16,Gagandeep Singh,Male,ETH Zurich,Martin Vechev,Male,"DeepCode and ETH Zurich, Switzerland",Fast and Effective Robustness Certification.
17,17,Chongxuan LI,Male,Tsinghua University,Bo Zhang,Male,Tsinghua University,Graphical Generative Adversarial Networks.
18,18,Jacob Harer,Male,Boston University,Peter Chin,Male,boston university,Learning to Repair Software Vulnerabilities with Generative Adversarial Networks.
19,19,Chenshen Wu,Male,Computer Vision Center,Bogdan Raducanu,Male,Computer Vision Center,Memory Replay GANs: Learning to Generate New Categories without Forgetting.
20,20,Youssef Alami Mejjati,Male,University of Bath,Kwang In Kim,Male,University of Bath,Unsupervised Attention-guided Image-to-Image Translation.
21,21,Ting-Chun Wang,Male,NVIDIA,Bryan Catanzaro,Male,NVIDIA,Video-to-Video Synthesis.
22,22,Hang Gao,Male,Columbia University,Shih-Fu Chang,Male,Columbia University,Low-shot Learning via Covariance-Preserving Adversarial Augmentation Networks.
23,23,Andrea Tacchetti,Male,DeepMind,Georgios Evangelopoulos,Male,"X, Alphabet Inc.",Trading robust representations for sample complexity through self-supervised visual experience.
24,24,Boris Oreshkin,Male,Element AI,Alexandre Lacoste,Male,Element AI,TADAM: Task dependent adaptive metric for improved few-shot learning.
25,25,Shuyang Sun,Male,The University of Sydney,Wanli Ouyang,Male,The University of Sydney,"FishNet: A Versatile Backbone for Image, Region, and Pixel Level Prediction."
